Pontif number, Papal Name, Personal name, Place of birth, Country of Birth, BirthDate, Conclave Start, Elected, Installed, End of Reign, Length, Religious order, Notes, 
220, Paul III, Alessandro Farnese, Canino, Lazio, Papal States, Italy, 29/02/1468, 11/10/1534, 13/10/1534, 03/11/1534, 10/11/1549, 15, , , 
221, Julius III, Giovanni Maria Ciocchi del Monte, Rome, Papal States, Italy, 10/09/1487, 29/11/1549, 07/02/1550, 22/02/1550, 23/03/1555, 5.1, , , 
222, Marcellus II, Marcello Cervini, Montefano, Marche, Papal States, Italy, 06/05/1501, 05/04/1555, 09/04/1555, 10/04/1555, 01/05/1555, 0, , , 
223, Paul IV, Giovanni Pietro Carafa, Capriglia Irpina, Campania, Kingdom of Naples, Italy, 28/06/1476, 15/05/1555, 23/05/1555, 26/05/1555, 18/08/1559, 4.2, Theatines, , 
224, Pius IV, Giovanni Angelo Medici, Milan, Duchy of Milan, Italy, 31/03/1499, 05/09/1559, 25/12/1559, 06/01/1560, 09/12/1565, 5.9, , , 
225, Pius V, Michele Ghislieri, Bosco, Duchy of Milan, Italy, 17/01/1504, 20/12/1565, 07/01/1566, 17/01/1566, 01/05/1572, 6.3, Dominicans, , 
226, Gregory XIII, Ugo Boncompagni, Bologna, Papal States, Italy, 07/01/1502, 12/05/1572, 13/05/1572, 25/05/1572, 10/04/1585, 12.9, , , 
227, Sixtus V, Felice Peretti, Grottammare, Marche, Papal States, Italy, 13/12/1521, 21/04/1585, 24/04/1585, 01/05/1585, 27/08/1590, 5.3, Franciscans - Order of Friars Minor Conventual, , 
228, Urban VII, Giovanni Battista Castagna, Rome, Papal States, Italy, 04/08/1521, 07/09/1590, 15/09/1590, , 27/09/1590, 0, , , 
229, Gregory XIV, Niccolo Sfondrati, Somma Lombardo, Duchy of Milan, Italy, 11/02/1535, 08/10/1590, 05/12/1590, 08/12/1590, 16/10/1591, 0.8, , , 
230, Innocent IX, Giovanni Antonio Facchinetti, Bologna, Papal States, Italy, 20/07/1519, 27/10/1591, 29/10/1591, 03/11/1591, 30/12/1591, 0.1, , , 
231, Clement VIII, Ippolito Aldobrandini, Fano, Marche, Papal States, Italy, 24/02/1536, 10/01/1592, 30/01/1592, 09/02/1592, 03/03/1605, 13, , , 
232, Leo XI, Alessandro Ottaviano de Medici, Florence, Duchy of Florence, Italy, 02/06/1535, 14/03/1605, 01/04/1605, 10/04/1605, 27/04/1605, 0, , , 
233, Paul V, Camillo Borghese, Rome, Papal States, Italy, 17/09/1552, 08/05/1605, 16/05/1605, 29/05/1605, 28/01/1621, 15.6, , , 
234, Gregory XV, Alessandro Ludovisi, Bologna, Papal States, Italy, 09/01/1554, 08/02/1621, 09/02/1621, 14/02/1621, 08/07/1623, 2.4, , , 
235, Urban VIII, Maffeo Barberini, Florence, Grand Duchy of Tuscany, Italy, 05/04/1568, 19/07/1623, 06/08/1623, 29/09/1623, 29/07/1644, 20.9, , , 
236, Innocent X, Giovanni Battista Pamphilj, Rome, Papal States, Italy, 06/05/1574, 09/08/1644, 15/09/1644, 04/10/1644, 07/01/1655, 10.3, , , 
237, Alexander VII, Fabio Chigi, Siena, Grand Duchy of Tuscany, Italy, 13/02/1599, 18/01/1655, 07/04/1655, 18/04/1655, 22/05/1667, 12.1, , , 
238, Clement IX, Giulio Rospigliosi, Pistoia, Grand Duchy of Tuscany, Italy, 28/01/1600, 02/06/1667, 20/06/1667, 26/06/1667, 09/12/1669, 2.4, , , 
239, Clement X, Emilio Altieri, Rome, Papal States, Italy, 13/07/1590, 20/12/1669, 29/04/1670, 11/05/1670, 22/07/1676, 6.2, , , 
240, Innocent XI, Benedetto Odescalchi, Como, Duchy of Milan, Italy, 19/05/1611, 02/08/1676, 21/09/1676, 04/10/1676, 12/08/1689, 12.8, , , 
241, Alexander VIII, Pietro Vito Ottoboni, Venice, Republic of Venice, Italy, 22/04/1610, 23/08/1689, 06/10/1689, 16/10/1689, 01/02/1691, 1.3, , , 
242, Innocent XII, Antonio Pignatelli, Spinazzola, Kingdom of Naples, Italy, 13/03/1615, 12/02/1691, 12/07/1691, 15/07/1691, 27/09/1700, 9.2, Franciscans - Secular Franciscan Order, , 
243, Clement XI, Giovanni Francesco Albani, Urbino, Marche, Papal States, Italy, 23/07/1649, 09/10/1700, 23/11/1700, 08/12/1700, 19/03/1721, 20.3, , , 
244, Innocent XIII, Michelangelo de Conti, Poli, Lazio, Papal States, Italy, 13/05/1655, 31/03/1721, 08/05/1721, 18/05/1721, 07/03/1724, 2.8, , , 
245, Benedict XIII, Pierfrancesco Orsini, Gravina in Puglia, Kingdom of Naples, Italy, 02/02/1649, 20/03/1724, 29/05/1724, 04/06/1724, 21/02/1730, 5.7, Dominicans, , 
246, Clement XII, Lorenzo Corsini, Florence, Grand Duchy of Tuscany, Italy, 07/04/1652, 05/03/1730, 12/07/1730, 16/07/1730, 06/02/1740, 9.5, Franciscans - Secular Franciscan Order, , 
247, Benedict XIV, Prospero Lorenzo Lambertini, Bologna, Papal States, Italy, 31/03/1675, 18/02/1740, 17/08/1740, 22/08/1740, 03/05/1758, 17.7, , , 
248, Clement XIII, Carlo della Torre Rezzonico, Venice, Republic of Venice, Italy, 07/03/1693, 15/05/1758, 06/07/1758, 16/07/1758, 02/02/1769, 10.5, , , 
249, Clement XIV, Giovanni Vincenzo Antonio Ganganelli, Sant' Arcangelo di Romagna, Papal States, Italy, 31/10/1705, 15/02/1769, 19/05/1769, 04/06/1769, 22/09/1774, 5.3, Franciscans - Order of Friars Minor Conventual, , 
250, Pius VI, Count Giovanni Angelo Braschi, Cesena, Papal States, Italy, 25/12/1717, 05/10/1774, 15/02/1775, 22/02/1775, 29/08/1799, 24.5, , , 
251, Pius VII, Barnaba Chiaramonti, Cesena, Papal States, Italy, 14/08/1742, 01/12/1799, 14/03/1800, 21/03/1800, 20/08/1823, 23.4, , , 
252, Leo XII, Count Annibale Sermattei della Genga, Genga or Spoleto, Papal States, Italy, 02/08/1760, 02/09/1823, 28/09/1823, 05/10/1823, 10/02/1829, 5.3, , , 
253, Pius VIII, Francesco Saverio Castiglioni, Cingoli, Marche, Papal States, Italy, 20/11/1761, 24/02/1829, 31/03/1829, 05/04/1829, 30/11/1830, 1.6, , , 
254, Gregory XVI, Bartolomeo Alberto Cappellari, Belluno, Republic of Venice, Italy, 18/09/1765, 14/12/1830, 02/02/1831, 06/02/1831, 01/06/1846, 15.3, Benedictines - Camaldolese, , 
255, Pius IX, Count Giovanni Maria Mastai-Ferretti, Senigallia, Marche, Papal States, Italy, 13/05/1792, 14/06/1846, 16/06/1846, 21/06/1846, 07/02/1878, 31.6, Franciscans - Secular Franciscan Order, , 
256, Leo XIII, Gioacchino Vincenzo Raffaele Luigi Pecci, Carpineto Romano, Rome departement, French Empire (now Italy), Italy, 02/03/1810, 18/02/1878, 20/02/1878, 03/03/1878, 20/07/1903, 25.4, Franciscans - Secular Franciscan Order, , 
257, Pius X, Giuseppe Melchiorre Sarto, Riese, Lombardy-Venetia, Austrian Empire, Austria, 02/06/1835, 31/07/1903, 04/08/1903, 09/08/1903, 20/08/1914, 11, Franciscans - Secular Franciscan Order, , 
258, Benedict XV, Giacomo Della Chiesa, Genoa, Kingdom of Sardinia, Italy, 21/11/1854, 31/08/1914, 03/09/1914, 06/09/1914, 22/01/1922, 7.3, Dominicans, , 
259, Pius XI, Achille Ambrogio Damiano Ratti, Desio, Lombardy-Venetia, Austrian Empire, Austria, 31/05/1857, 02/02/1922, 06/02/1922, 12/02/1922, 10/02/1939, 17, Franciscans - Secular Franciscan Order, , 
260, Pius XII, Eugenio Maria Giuseppe Giovanni Pacelli, Rome, Italy, 02/03/1876, 01/03/1939, 02/03/1939, 12/03/1939, 09/10/1958, 19.6, , , 
261, John XXIII, Angelo Giuseppe Roncalli, Sotto il Monte, Bergamo, Italy, 25/11/1881, 25/10/1958, 28/10/1958, 04/11/1958, 03/06/1963, 4.5, Franciscans - Secular Franciscan Order, , 
262, Paul VI, Giovanni Battista Enrico Antonio Maria Montini, Concesio, Brescia, Italy, 26/09/1897, 19/06/1963, 21/06/1963, 30/06/1963, 06/08/1978, 15.1, , , 
263, John Paul I, Albino Luciani, Forno di Canale, Veneto, Italy, 17/10/1912, 25/08/1978, 26/08/1978, 03/09/1978, 28/09/1978, 0, , , 
264, John Paul II, Karol Jozef Wojtyla, Wadowice, Poland, 18/05/1920, 14/10/1978, 16/10/1978, 22/10/1978, 02/04/2005, 26.4, , , 
265, Benedict XVI, Joseph Alois Ratzinger, Marktl am Inn, Bavaria, Germany, 16/04/1927, 18/04/2005, 19/04/2005, 24/04/2005, 28/02/2013, 7.8, , , 
266, Francis, Jorge Mario Bergoglio, Buenos Aires, Argentina, 17/12/1936, 12/03/2013, 13/03/2013, 19/03/2013, 21/04/2025, 12.1, Jesuits, , 
267, Leo XIV, Robert Francis Prevost, Chicago, Illinois,, United States, 14/09/1955, 07/05/2025, 08/05/2025, -, -, -, Augustinians, , 
