Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
WASP-88b; Planet; ; 0.56; 1.7; 4.954; 0.06431; 1775; transit; 2013; 1730±30; 1.45; 6431; ; 
WASP-90b; Planet; ; 0.63±0.07; 1.63±0.09; 3.916243±0.000003; 0.0562±0.0012; 1840±50; transit; 2013; 1100±200; 1.55±0.10; 6440±130; ; 
WASP-95b; Planet; ; 1.13; 1.21; 2.184673; 0.03416; 1570; transit; 2013; 450±2; 1.11; 5630; ; 
WASP-96b; Planet; ; 0.48; 1.2; 3.4252602; 0.0453; 1285; transit; 2013; 1161±15; 1.06; 5540; ; 
WASP-97b; Planet; ; 1.32; 1.13; 2.07276; 0.03303; 1555; transit; 2013; 494.9±1.7; 1.12; 5640; ; 
WASP-98b; Planet; ; 0.922; 1.144; 2.96264036; 0.03762; 1180; transit; 2013; 926±5; 0.81; 5473; ; 
WASP-99b; Planet; ; 2.78; 1.1; 5.75251; 0.0717; 1480; transit; 2013; 519±2; 1.48; 6180; ; 
WASP-100b; Planet; ; 2.03; 1.69; 2.849375; 0.0457; 2190; transit; 2013; 1201±9; 1.57; 6900; ; 
WASP-101b; Planet; ; 0.5; 1.41; 3.585722; 0.0506; 1560; transit; 2013; 660±3; 1.34; 6400; ; 
WTS-2b; Planet; ; 1.12; 1.363; 1.0187068; 0.01855; 2000; transit; 2013; 3300; 0.82; 5000; ; 
BD-11 4672 b; Planet; ; 0.53; ; 1667; 2.28; ; radial vel.; 2014; 89; 0.57; 4475; ; 
Beta Cancri b; Planet; ; 7.8; ; 605.2; 1.7; ; radial vel.; 2014; 290.4; 1.7; 4092.1; ; 
Beta Ursae Minoris b; Planet; ; 6.1; ; 522.3; 1.4; ; radial vel.; 2014; 126.5; 1.4; 4126; ; 
COROT-22b; Planet; ; 0.038; 0.435; 9.75598; 0.092; 885; transit; 2014; 1930; 1.1; 5939; ; 
COROT-24b; Planet; ; 0.018; 0.33; 5.1134; 0.056; 1070; transit; 2014; 2000; 0.91; 4950; ; 
COROT-24c; Planet; ; 0.088; 0.44; 11.759; 0.098; 850; transit; 2014; 2000; 0.91; 4950; ; 
COROT-27b; Planet; ; 10.39; 1.007; 3.57532; 0.0476; 1500; transit; 2014; 3400±200; 1.05; 5900; ; 
Gliese 15 Ab; Planet; ; 0.017; ; 11.4433; 0.0717; ; radial vel.; 2014; 11.6; 0.38; 3567; ; 
Gliese 27.1 b; Planet; ; 0.0409; ; 15.819; 0.101; ; radial vel.; 2014; 77.05; 0.53; 3542; ; 
Gliese 160.2 b; Planet; ; 0.0321; ; 5.2354; 0.053; ; radial vel.; 2014; 84.39; 0.69; 4347; ; 
Gliese 180 b; Planet; ; 0.0261; ; 17.38; 0.103; ; radial vel.; 2014; 38.95; 0.43; 3371; ; 
Gliese 180 c; Planet; ; 0.0201; ; 24.329; 0.129; ; radial vel.; 2014; 38.95; 0.43; 3371; ; 
Gliese 229 Ab; Planet; ; 0.1; ; 471; 0.97; ; radial vel.; 2014; 18.77; 0.58; 3564; ; 
Gliese 433 c; Planet; ; 0.14; ; 4900+1800 −1000; 4.7+1.2 −0.8; ; radial vel.; 2014; 29.57; 0.48; 3472; ; 
Gliese 422 b; Planet; ; 0.0311; ; 26.161; 0.119; ; radial vel.; 2014; 41.32; 0.35; 3323; ; 
Gliese 682 b; Planet; ; 0.014; ; 17.478; 0.08; ; radial vel.; 2014; 16.33; 0.27; 3028; ; 
Gliese 682 c; Planet; ; 0.0274; ; 57.32; 0.176; ; radial vel.; 2014; 16.33; 0.27; 3028; ; 
Gliese 687 b; Planet; ; 0.058; ; 38.14; 0.16353; ; radial vel.; 2014; 14.8; 0.41; 3413; ; 
Gliese 832 c; Planet; ; 0.017; ; 35.68; 0.163; ; radial vel.; 2014; 16.1; 0.45; 3472; ; 
Gliese 3293 b; Planet; ; 0.07406; ; 30.5987; 0.14339; ; radial vel.; 2014; 51.4; 0.42; 3466; ; 
Gliese 3293 c; Planet; ; 0.06636; ; 122.6196; 0.36175; ; radial vel.; 2014; 51.4; 0.42; 3466; ; 
Gliese 3341 b; Planet; ; 0.0208; ; 14.207; 0.089; ; radial vel.; 2014; 77.1; 0.47; 3526; ; 
GU Piscium b; Planet; ; 11.3; 1.265; ; 2000; ; imaging; 2014; 160; 0.33; 3250±32; ; 
HAT-P-49b; Planet; ; 1.73; 1.413; 2.691548; 0.0438; 2131; transit; 2014; 1050; 1.54; 6820; ; 
HAT-P-54b; Planet; ; 0.76; 0.944; 3.799847; 0.04117; ; transit; 2014; 443; 0.65; 4390; ; 
HATS-4b; Planet; ; 1.323; 1.02; 2.516729; 0.0362; 1315; transit; 2014; 1400; 1; 5403; ; 
HATS-5b; Planet; ; 0.237; 0.912; 4.763387; 0.0542; 1025; transit; 2014; 840; 0.94; 5304; ; 
HATS-6b; Planet; ; 0.319; 0.998; 3.3252725; 0.03623; ; transit; 2014; 484; 0.57; 3724; ; 
HD 564 b; Planet; ; 0.33; ; 492.3; 1.2; ; radial vel.; 2014; 175; 0.96; 5902; ; 
HD 4203 c; Planet; ; 2.17; ; 6700; 6.95; ; radial vel.; 2014; 253.8; 1.13; 5702; ; 
HD 5319 c; Planet; ; 1.15; ; 886; 2.071; ; radial vel.; 2014; 370; 1.51; 4958; ; 
HD 10442 b; Planet; ; 2.1; ; 1043; 2.335; ; radial vel.; 2014; 443±4; 1.56; 5034; ; 
HD 11506 c; Planet; ; 0.408±0.057; ; 223.41±0.32; 0.774±0.038; ; radial vel.; 2014; 167.4±0.4; 1.12±0.02; 5833±28; ; 
HD 14067 b; Planet; ; 7.8; ; 1455; 3.4; ; radial vel.; 2014; 533; 2.4; 4815; ; 
HD 30669 b; Planet; ; 0.47; ; 1684; 2.69; ; radial vel.; 2014; 186; 0.92; 5400; ; 
HD 75784 b; Planet; ; 1.15; ; 341.7; 1.073; ; radial vel.; 2014; 224; 1.41; 4917; ; 
HD 100546 b; Planet; ; ; 6.9; ; 53; ; imaging; 2014; 320; 2.4; 10500; ; 
HD 103720 b; Planet; ; 0.62; ; 4.5557; 0.0498; ; radial vel.; 2014; 136; 0.79; 5017; ; 
HD 108341 b; Planet; ; 3.5; ; 1129; 2; ; radial vel.; 2014; 161; 0.84; 5122; ; 
HD 114613 b; Planet; ; 0.48; ; 3827; 5.16; ; radial vel.; 2014; 66.8; 1.36; 5729; ; 
HD 141399 b; Planet; ; 0.451; ; 94.44; 0.415; ; radial vel.; 2014; 118; 1.07; 5600; ; 
HD 141399 c; Planet; ; 1.33; ; 201.99; 0.689; ; radial vel.; 2014; 118; 1.07; 5600; ; 
HD 141399 d; Planet; ; 1.18; ; 1069.8; 2.09; ; radial vel.; 2014; 118; 1.07; 5600; ; 
HD 141399 e; Planet; ; 0.66; ; 5000; 5; ; radial vel.; 2014; 118; 1.07; 5600; ; 
HD 154857 c; Planet; ; 2.58; ; 3452; 5.36; ; radial vel.; 2014; 223.5; 1.72; 5605; ; 
HIP 67851 b; Planet; ; 1.38; ; 88.9; 0.46; ; radial vel.; 2014; 208.3±0.6; 1.63; 4890; ; 
HIP 67851 c; Planet; ; 4.34±0.59; ; 1741±39; 3.09±0.18; ; radial vel.; 2014; 208.3±0.6; 1.63; 4890; ; 
HIP 97233 b; Planet; ; 20; ; 1058.8; 2.55; ; radial vel.; 2014; 347; 1.93; 5020; ; 
HIP 105854 b; Planet; ; 8.2; ; 184.2; 0.81; ; radial vel.; 2014; 276; 2.1; 4780; ; 
HIP 116454 b; Planet; ; 0.037; 0.226; 9.1205; 0.0906; ; radial vel.; 2014; 180; 0.78; 5089; ; 
Kapteyn b; Planet; ; 0.015; ; 48.616+0.036 −0.032; 0.168; ; radial vel.; 2014; 12.8; 0.28; 3550; ; 
Kapteyn c; Planet; ; 0.022; ; 121.54; 0.311; ; radial vel.; 2014; 12.8; 0.28; 3550; ; 
KIC 10001893 b; Planet; ; ; ; 0.2197; ; ; orbital brightness modulation; 2014; 5700±500; ; 27500; ; 
KIC 10001893 c; Planet; ; ; ; 0.32528; ; ; orbital brightness modulation; 2014; 5700±500; ; 27500; ; 
KIC 10001893 d; Planet; ; ; ; 0.81161; ; ; orbital brightness modulation; 2014; 5700±500; ; 27500; ; 
Kepler-23d; Planet; ; ; 0.196; 15.274299; 0.124; ; transit; 2014; 2600; 1.11; 5828; ; 
Kepler-24d; Planet; ; ; 0.149; 4.244384; 0.051; ; transit; 2014; 3900; 1.03; 5897; ; 
Kepler-24e; Planet; ; ; 0.248; 18.998355; 0.138; ; transit; 2014; 3900; 1.03; 5897; ; 
Kepler-25d; Planet; ; 0.283; ; 123; ; ; radial vel.; 2014; 798±4; 1.19; 6270; ; 
Kepler-26d; Planet; ; ; 0.095; 3.543919; 0.039; ; transit; 2014; 1104±10; 0.54; 3914; ; 
Kepler-26e; Planet; ; ; 0.215; 46.827915; 0.22; ; transit; 2014; 1104±10; 0.54; 3914; ; 
Kepler-31d; Planet; ; 6.8; 0.348; 87.6451; 0.4; ; transit; 2014; 6800; 1.21; 6340; ; 
Kepler-37e; Planet; ; ; ; 51.196; ; ; timing; 2014; 220; 0.8; 5417; ; 
Kepler-48d; Planet; ; 0.025; 0.182; 42.8961; ; ; transit; 2014; 1009±5; 0.88; 5194; ; 
Kepler-48e; Planet; ; 2.067; ; 982; ; ; radial vel.; 2014; 1009±5; 0.88; 5194; ; 
Kepler-49d; Planet; ; ; 0.143; 2.576549; 0.031; ; transit; 2014; 1024±8; 0.55; 4252; ; 
Kepler-49e; Planet; ; ; 0.139; 18.596108; 0.116; ; transit; 2014; 1024±8; 0.55; 4252; ; 
Kepler-51d; Planet; ; 0.024; 0.865; 130.194; 0.509; ; transit; 2014; 2610±50; 1.04; 6018; ; 
Kepler-52d; Planet; ; ; 0.174; 36.445171; 0.182; ; transit; 2014; 1058±7; 0.54; 4263; ; 
Kepler-53d; Planet; ; ; 0.189; 9.751962; 0.091; ; transit; 2014; 4600±200; 0.98; 5858; ; 
Kepler-54d; Planet; ; ; 0.136; 20.995694; 0.126; ; transit; 2014; 893±9; 0.51; 4252; ; 
Kepler-55d; Planet; ; ; 0.142; 2.211099; 0.029; ; transit; 2014; 1920±30; 0.62; 4503; ; 
Kepler-55e; Planet; ; ; 0.138; 4.617534; 0.048; ; transit; 2014; 1920±30; 0.62; 4503; ; 
Kepler-55f; Planet; ; ; 0.142; 10.198545; 0.081; ; transit; 2014; 1920±30; 0.62; 4503; ; 
Kepler-58d; Planet; ; ; 0.262; 40.101371; 0.236; ; transit; 2014; 3250±80; 0.95; 6099; ; 
Kepler-79d; Planet; ; 0.019; 0.639; 52.0902; 0.287; 553; transit; 2014; 3230±60; 1.17; 6174; ; 
Kepler-79e; Planet; ; 0.013; 0.311; 81.0659; 0.386; 477; transit; 2014; 3230±60; 1.17; 6174; ; 
Kepler-80d; Planet; ; 0.02124; 0.136; 3.07222; 0.0372; ; transit; 2014; 1160; 0.73; 4540; ; 
Kepler-80e; Planet; ; 0.01299; 0.143; 4.64489; 0.0491; ; transit; 2014; 1160; 0.73; 4540; ; 
Kepler-81d; Planet; ; ; 0.108; 20.837846; 0.128; ; transit; 2014; 1147±10; 0.64; 4500; ; 
Kepler-82d; Planet; ; ; 0.158; 2.382961; 0.034; ; transit; 2014; 3030±80; 0.85; 5428; ; 
Kepler-82e; Planet; ; ; 0.22; 5.902206; 0.063; ; transit; 2014; 3030±80; 0.85; 5428; ; 
Kepler-83d; Planet; ; ; 0.173; 5.169796; 0.051; ; transit; 2014; 1320±17; 0.66; 4648; ; 
Kepler-84d; Planet; ; ; 0.123; 4.224537; 0.052; ; transit; 2014; 4700±500; 1; 6031; ; 
Kepler-84e; Planet; ; ; 0.232; 27.434389; 0.181; ; transit; 2014; 4700±500; 1; 6031; ; 
Kepler-84f; Planet; ; ; 0.196; 44.552169; 0.25; ; transit; 2014; 4700±500; 1; 6031; ; 
Kepler-85d; Planet; ; ; 0.107; 17.91323; 0.13; ; transit; 2014; 2550±50; 0.92; 5436; ; 
Kepler-85e; Planet; ; ; 0.113; 25.216751; 0.163; ; transit; 2014; 2550±50; 0.92; 5436; ; 
Kepler-93b; Planet; ; 0.01265; 0.132; 4.72673978; 0.053; 1037; transit; 2014; 313.7±0.7; 0.91; 5669; ; 
Kepler-93c; Planet; ; 3; ; 1460; ; ; radial vel.; 2014; 313.7±0.7; 0.91; 5669; ; 
Kepler-94b; Planet; ; 0.034; 0.313; 2.50806; ; ; transit; 2014; 629±2; 0.81; 4781; ; 
Kepler-94c; Planet; ; 9.836; ; 820.3; ; ; radial vel.; 2014; 629±2; 0.81; 4781; ; 
Kepler-95b; Planet; ; 0.041; 0.305; 11.5231; ; ; transit; 2014; 1472±18; 1.08; 5699; ; 
Kepler-96b; Planet; ; 0.027; 0.238; 16.2385; ; ; transit; 2014; 402.2±1.3; 1; 5690; ; 
Kepler-97b; Planet; ; 0.011; 0.132; 2.58664; ; ; transit; 2014; 1322±11; 0.94; 5779; ; 
Kepler-97c; Planet; ; 1.08; ; 789; ; ; radial vel.; 2014; 1322±11; 0.94; 5779; ; 
Kepler-98b; Planet; ; 0.011; 0.178; 1.54168; ; ; transit; 2014; 1154±9; 0.99; 5539; ; 
Kepler-99b; Planet; ; 0.019; 0.132; 4.60358; ; ; transit; 2014; 683±3; 0.79; 4782; ; 
Kepler-100b; Planet; ; 0.023; 0.118; 6.88705; ; ; transit; 2014; 1002±5; 1.08; 5825; ; 
Kepler-100c; Planet; ; ; 0.196; 12.8159; ; ; transit; 2014; 1002±5; 1.08; 5825; ; 
Kepler-100d; Planet; ; ; 0.144; 35.3331; ; ; transit; 2014; 1002±5; 1.08; 5825; ; 
Kepler-101b; Planet; ; 0.16; 0.51; 3.4876812; 0.0474; ; transit; 2014; 3110±50; 1.17; 5667; ; 
Kepler-101c; Planet; ; 0.01; 0.112; 6.02976; 0.0684; ; transit; 2014; 3110±50; 1.17; 5667; ; 
Kepler-102b; Planet; ; ; 0.042; 5.28696; ; 792; transit; 2014; 352.7±0.7; 0.81; 4909; ; 
Kepler-102c; Planet; ; ; 0.052; 7.07142; ; 718; transit; 2014; 352.7±0.7; 0.81; 4909; ; 
Kepler-102d; Planet; ; 0.012; 0.105; 10.3117; ; ; transit; 2014; 352.7±0.7; 0.81; 4909; ; 
Kepler-102f; Planet; ; ; 0.079; 27.4536; ; 457; transit; 2014; 352.7±0.7; 0.81; 4909; ; 
Kepler-103b; Planet; ; 0.031; 0.301; 15.9654; ; ; transit; 2014; 1637±19; 1.09; 5845; ; 
Kepler-103c; Planet; ; 0.114; 0.459; 179.612; ; ; transit; 2014; 1637±19; 1.09; 5845; ; 
Kepler-104b; Planet; ; ; 0.277; 11.427548; 0.094; ; transit; 2014; 1322±14; 0.81; 5711; ; 
Kepler-104c; Planet; ; ; 0.279; 23.668205; 0.153; ; transit; 2014; 1322±14; 0.81; 5711; ; 
Kepler-104d; Planet; ; ; 0.319; 51.755394; 0.257; ; transit; 2014; 1322±14; 0.81; 5711; ; 
Kepler-105c; Planet; ; 0.01447; 0.117; 7.1262; ; ; transit; 2014; 1517±18; 0.96; 5827; ; 
Kepler-106b; Planet; ; ; 0.073; 6.16486; ; ; transit; 2014; 1470±20; 1; 5858; ; 
Kepler-106c; Planet; ; 0.033; 0.223; 13.5708; ; ; transit; 2014; 1470±20; 1; 5858; ; 
Kepler-106d; Planet; ; ; 0.085; 23.9802; ; ; transit; 2014; 1470±20; 1; 5858; ; 
Kepler-106e; Planet; ; 0.035; 0.228; 43.8445; ; ; transit; 2014; 1470±20; 1; 5858; ; 
Kepler-107b; Planet; ; ; 0.139; 3.179997; 0.044; ; transit; 2014; 1741±18; ; 5851; ; 
Kepler-107c; Planet; ; ; 0.161; 4.901425; 0.059; ; transit; 2014; 1741±18; ; 5851; ; 
Kepler-107d; Planet; ; ; 0.095; 7.958203; 0.082; ; transit; 2014; 1741±18; ; 5851; ; 
Kepler-107e; Planet; ; ; 0.308; 14.749049; 0.123; ; transit; 2014; 1741±18; ; 5851; ; 
Kepler-108b; Planet; ; ; 0.772; 49.183921; 0.292; ; transit; 2014; 4200±500; 0.87; 5854; ; 
Kepler-108c; Planet; ; ; 0.73; 190.323494; 0.721; ; transit; 2014; 4200±500; 0.87; 5854; ; 
Kepler-109b; Planet; ; ; 0.211; 6.48163; ; ; transit; 2014; 1570±17; 1.04; 5952; ; 
Kepler-109c; Planet; ; ; 0.225; 21.2227; ; ; transit; 2014; 1570±17; 1.04; 5952; ; 
Kepler-110b; Planet; ; ; 0.163; 12.691112; 0.107; ; transit; 2014; 1950±30; ; 5960; ; 
Kepler-110c; Planet; ; ; 0.197; 31.719775; 0.198; ; transit; 2014; 1950±30; ; 5960; ; 
Kepler-111b; Planet; ; ; 0.141; 3.341815; 0.046; ; transit; 2014; 2190±20; ; 5952; ; 
Kepler-111c; Planet; ; ; 0.651; 224.784608; 0.761; ; transit; 2014; 2190±20; ; 5952; ; 
Kepler-112b; Planet; ; ; 0.211; 8.408878; 0.076; ; transit; 2014; 1698±14; ; 5544; ; 
Kepler-112c; Planet; ; ; 0.214; 28.574263; 0.172; ; transit; 2014; 1698±14; ; 5544; ; 
Kepler-113b; Planet; ; 0.037; 0.162; 4.754; ; ; transit; 2014; 862±3; 0.75; 4725; ; 
Kepler-113c; Planet; ; ; 0.194; 8.92507; ; ; transit; 2014; 862±3; 0.75; 4725; ; 
Kepler-114b; Planet; ; ; 0.112; 5.188549; 0.053; 722; transit; 2014; 852±4; 0.56; 4605; ; 
Kepler-115b; Planet; ; ; 0.097; 2.403679; 0.036; ; transit; 2014; 2070±20; 1; 5979; ; 
Kepler-115c; Planet; ; ; 0.232; 8.990889; 0.087; ; transit; 2014; 2070±20; 1; 5979; ; 
Kepler-116b; Planet; ; ; 0.305; 5.968734; 0.069; ; transit; 2014; 3200±50; 1.16; 6142; ; 
Kepler-116c; Planet; ; ; 0.205; 13.07163; 0.116; ; transit; 2014; 3200±50; 1.16; 6142; ; 
Kepler-117b; Planet; ; 0.094; 0.719; 18.7959228; 0.1445; ; transit; 2014; 4700; 1.13; 6150; ; 
Kepler-117c; Planet; ; 1.84; 1.101; 50.790391; 0.2804; ; transit; 2014; 4700; 1.13; 6150; ; 
Kepler-118b; Planet; ; ; 0.175; 7.518496; 0.073; ; transit; 2014; 1900±20; 0.86; 5274; ; 
Kepler-118c; Planet; ; ; 0.685; 20.17202; 0.141; ; transit; 2014; 1900±20; 0.86; 5274; ; 
Kepler-119b; Planet; ; ; 0.321; 2.422082; 0.035; ; transit; 2014; 2340±40; ; 5595; ; 
Kepler-119c; Planet; ; ; 0.082; 4.125103; 0.049; ; transit; 2014; 2340±40; ; 5595; ; 
Kepler-120b; Planet; ; ; 0.192; 6.312501; 0.055; ; transit; 2014; 1281±10; ; 4096; ; 
Kepler-120c; Planet; ; ; 0.136; 12.794585; 0.088; ; transit; 2014; 1281±10; ; 4096; ; 
Kepler-121b; Planet; ; ; 0.209; 3.177422; 0.039; ; transit; 2014; 1690±20; ; 5311; ; 
Kepler-121c; Planet; ; ; 0.203; 41.008011; 0.216; ; transit; 2014; 1690±20; ; 5311; ; 
Kepler-122b; Planet; ; ; 0.209; 5.766193; 0.064; ; transit; 2014; 3450±70; 0.99; 6050; ; 
Kepler-122c; Planet; ; ; 0.524; 12.465988; 0.108; ; transit; 2014; 3450±70; 0.99; 6050; ; 
Kepler-122d; Planet; ; ; 0.196; 21.587475; 0.155; ; transit; 2014; 3450±70; 0.99; 6050; ; 
Kepler-122e; Planet; ; ; 0.232; 37.993273; 0.227; ; transit; 2014; 3450±70; 0.99; 6050; ; 
Kepler-122f; Planet; ; 0.113; 0.156; 56.268; ; ; timing; 2014; 3450±70; 0.99; 6050; ; 
Kepler-123b; Planet; ; ; 0.262; 17.232366; 0.135; ; transit; 2014; 3430±80; 1.03; 6089; ; 
Kepler-123c; Planet; ; ; 0.132; 26.695074; 0.181; ; transit; 2014; 3430±80; 1.03; 6089; ; 
Kepler-124b; Planet; ; ; 0.065; 3.410493; 0.039; ; transit; 2014; 1386±10; ; 4984; ; 
Kepler-124c; Planet; ; ; 0.156; 13.821375; 0.1; ; transit; 2014; 1386±10; ; 4984; ; 
Kepler-124d; Planet; ; ; 0.099; 30.950851; 0.17; ; transit; 2014; 1386±10; ; 4984; ; 
Kepler-125b; Planet; ; ; 0.211; 4.164389; 0.041; ; transit; 2014; 601±3; 0.55; 3810; ; 
Kepler-125c; Planet; ; ; 0.066; 5.774464; 0.051; ; transit; 2014; 601±3; 0.55; 3810; ; 
Kepler-126b; Planet; ; ; 0.136; 10.495711; 0.099; ; transit; 2014; 779±5; ; 6239; ; 
Kepler-126c; Planet; ; ; 0.141; 21.869741; 0.162; ; transit; 2014; 779±5; ; 6239; ; 
Kepler-126d; Planet; ; ; 0.223; 100.283134; 0.448; ; transit; 2014; 779±5; ; 6239; ; 
Kepler-127b; Planet; ; ; 0.125; 14.435889; 0.125; ; transit; 2014; 1162±8; ; 6106; ; 
Kepler-127c; Planet; ; ; 0.237; 29.393195; 0.2; ; transit; 2014; 1162±8; ; 6106; ; 
Kepler-127d; Planet; ; ; 0.236; 48.630408; 0.28; ; transit; 2014; 1162±8; ; 6106; ; 
Kepler-129b; Planet; ; ; 0.211; 15.79186; 0.131; ; transit; 2014; 1349±14; 1.18; 5770; ; 
Kepler-129c; Planet; ; ; 0.227; 82.20017; 0.393; ; transit; 2014; 1349±14; 1.18; 5770; ; 
Kepler-130c; Planet; ; ; 0.259; 27.50868; 0.178; ; transit; 2014; 1042±7; 1; 5884; ; 
Kepler-130d; Planet; ; ; 0.146; 87.517905; 0.377; ; transit; 2014; 1042±7; 1; 5884; ; 
Kepler-131b; Planet; ; 0.051; 0.215; 16.092; ; ; transit; 2014; 750±4; 1.02; 5685; ; 
Kepler-131c; Planet; ; 0.026; 0.075; 25.5169; ; ; transit; 2014; 750±4; 1.02; 5685; ; 
Kepler-132b; Planet; ; ; 0.108; 6.178196; 0.067; ; transit; 2014; 900±70; ; 6003; ; 
Kepler-132c; Planet; ; ; 0.114; 6.414914; 0.068; ; transit; 2014; 900±70; ; 6003; ; 
Kepler-132d; Planet; ; ; 0.138; 18.010199; 0.136; ; transit; 2014; 900±70; ; 6003; ; 
Kepler-133b; Planet; ; ; 0.157; 8.129976; 0.083; ; transit; 2014; 2170±60; ; 5736; ; 
Kepler-133c; Planet; ; ; 0.253; 31.517586; 0.204; ; transit; 2014; 2170±60; ; 5736; ; 
Kepler-134b; Planet; ; ; 0.178; 5.317429; 0.06; ; transit; 2014; 1102±7; ; 5983; ; 
Kepler-134c; Planet; ; ; 0.112; 10.105785; 0.092; ; transit; 2014; 1102±7; ; 5983; ; 
Kepler-135b; Planet; ; ; 0.161; 6.00253; 0.067; ; transit; 2014; 2060±40; ; 6090; ; 
Kepler-135c; Planet; ; ; 0.103; 11.448708; 0.103; ; transit; 2014; 2060±40; ; 6090; ; 
Kepler-136b; Planet; ; ; 0.183; 11.5789; 0.106; ; transit; 2014; 1389±14; 1.2; 6165; ; 
Kepler-136c; Planet; ; ; 0.178; 16.399235; 0.133; ; transit; 2014; 1389±14; 1.2; 6165; ; 
Kepler-137b; Planet; ; ; 0.131; 8.436387; 0.077; ; transit; 2014; 996±6; ; 5187; ; 
Kepler-137c; Planet; ; ; 0.168; 18.735753; 0.13; ; transit; 2014; 996±6; ; 5187; ; 
Kepler-138b; Planet; ; 0.00021; 0.047; 10.3126; ; ; transit; 2014; 218.5±0.3; 0.52; 3841; ; 
Kepler-138c; Planet; ; 0.0062; 0.107; 13.7813; ; ; transit; 2014; 218.5±0.3; 0.52; 3841; ; 
Kepler-138d; Planet; ; 0.00201; 0.108; 23.0881; ; 431; transit; 2014; 218.5±0.3; 0.52; 3841; ; 
Kepler-139b; Planet; ; ; 0.262; 15.771044; 0.127; ; transit; 2014; 1289±13; 1.08; 5594; ; 
Kepler-139c; Planet; ; ; 0.302; 157.072878; 0.586; ; transit; 2014; 1289±13; 1.08; 5594; ; 
Kepler-140b; Planet; ; ; 0.144; 3.25427; 0.045; ; transit; 2014; 1940±20; ; 6077; ; 
Kepler-140c; Planet; ; ; 0.161; 91.353282; 0.414; ; transit; 2014; 1940±20; ; 6077; ; 
Kepler-141b; Planet; ; ; 0.062; 3.107675; 0.039; ; transit; 2014; 990±4; 1; 4910; ; 
Kepler-141c; Planet; ; ; 0.126; 7.010606; 0.067; ; transit; 2014; 990±4; 1; 4910; ; 
Kepler-142b; Planet; ; ; 0.178; 2.024152; 0.032; ; transit; 2014; 1818±13; 0.99; 5790; ; 
Kepler-142c; Planet; ; ; 0.255; 4.761702; 0.057; ; transit; 2014; 1818±13; 0.99; 5790; ; 
Kepler-142d; Planet; ; ; 0.193; 41.809118; 0.242; ; transit; 2014; 1818±13; 0.99; 5790; ; 
Kepler-143b; Planet; ; ; 0.215; 16.007583; 0.127; ; transit; 2014; 2700±40; ; 5848; ; 
Kepler-143c; Planet; ; ; 0.301; 27.082511; 0.181; ; transit; 2014; 2700±40; ; 5848; ; 
Kepler-144b; Planet; ; ; 0.119; 5.885273; 0.066; ; transit; 2014; 1269±10; 1.03; 6075; ; 
Kepler-144c; Planet; ; ; 0.12; 10.104665; 0.094; ; transit; 2014; 1269±10; 1.03; 6075; ; 
Kepler-146b; Planet; ; ; 0.331; 31.158799; 0.2; ; transit; 2014; 2390±30; ; 5948; ; 
Kepler-146c; Planet; ; ; 0.279; 76.732171; 0.364; ; transit; 2014; 2390±30; ; 5948; ; 
Kepler-147b; Planet; ; ; 0.136; 12.610584; 0.113; ; transit; 2014; 3500±90; 1.01; 6012; ; 
Kepler-147c; Planet; ; ; 0.217; 33.416423; 0.216; ; transit; 2014; 3500±90; 1.01; 6012; ; 
Kepler-148b; Planet; ; ; 0.161; 1.729366; 0.028; ; transit; 2014; 2640±50; ; 5272; ; 
Kepler-148c; Planet; ; ; 0.321; 4.180043; 0.05; ; transit; 2014; 2640±50; ; 5272; ; 
Kepler-149b; Planet; ; ; 0.376; 29.198943; 0.184; ; transit; 2014; 1893±19; ; 5381; ; 
Kepler-149c; Planet; ; ; 0.144; 55.328328; 0.281; ; transit; 2014; 1893±19; ; 5381; ; 
Kepler-149d; Planet; ; ; 0.353; 160.018032; 0.571; ; transit; 2014; 1893±19; ; 5381; ; 
Kepler-150b; Planet; ; ; 0.112; 3.428054; 0.044; ; transit; 2014; 2980±60; ; 5560; ; 
Kepler-150c; Planet; ; ; 0.329; 7.381998; 0.073; ; transit; 2014; 2980±60; ; 5560; ; 
Kepler-150d; Planet; ; ; 0.249; 12.56093; 0.104; ; transit; 2014; 2980±60; ; 5560; ; 
Kepler-150e; Planet; ; ; 0.278; 30.826557; 0.189; ; transit; 2014; 2980±60; ; 5560; ; 
Kepler-151b; Planet; ; ; 0.273; 15.228958; 0.116; ; transit; 2014; 2160±30; 0.83; 5460; ; 
Kepler-151c; Planet; ; ; 0.186; 24.674612; 0.16; ; transit; 2014; 2160±30; 0.83; 5460; ; 
Kepler-152b; Planet; ; ; 0.249; 18.207973; 0.124; ; transit; 2014; 1457±10; ; 5088; ; 
