Fund Name, Type, Replication method, Inception date, Fund size [M€], Distribution policy, WKN, ISIN, 
SPDR S&P US Consumer Discretionary Select Sector UCITS ETF, Equity Consumer Discretionary, Full replication, 07.07.15, 98, Accumulating, A14QBY, IE00BWBXM278, 
Invesco US Consumer Discretionary Sector UCITS ETF, Equity Consumer Discretionary, Swap based; Unfunded, 16.12.09, 73, Accumulating, A0YHMR, IE00B449XP68, 
Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF - Dist, Equity Consumer Discretionary, Swap based; Unfunded, 03.09.20, 11, Distributing, LYX04N, LU2082998324, 
SPDR MSCI Europe Consumer Staples UCITS ETF, Equity Consumer Staples, Full replication, 05.12.14, 367, Accumulating, A1191N, IE00BKWQ0D84, 
iShares MSCI Europe Consumer Staples Sector UCITS ETF EUR (Acc), Equity Consumer Staples, Full replication, 17.11.20, 566, Accumulating, A2QBZ2, IE00BMW42074, 
Xtrackers MSCI USA Consumer Staples UCITS ETF 1D, Equity Consumer Staples, Full replication, 12.09.17, 69, Distributing, A1W9KC, IE00BGQYRQ28, 
Xtrackers MSCI World Consumer Staples UCITS ETF 1C, Equity Consumer Staples, Full replication, 09.03.16, 806, Accumulating, A113FG, IE00BM67HN09, 
SPDR MSCI World Consumer Staples UCITS ETF, Equity Consumer Staples, Full replication, 29.04.16, 79, Accumulating, A2AGZ0, IE00BYTRR756, 
iShares MSCI World Consumer Staples Sector UCITS ETF USD (Dist), Equity Consumer Staples, Full replication, 17.10.19, 88, Distributing, A2PHCH, IE00BJ5JP329, 
iShares S&P 500 Consumer Staples Sector UCITS ETF, Equity Consumer Staples, Full replication, 20.03.17, 556, Accumulating, A142NW, IE00B40B8R38, 
SPDR S&P US Consumer Staples Select Sector UCITS ETF, Equity Consumer Staples, Full replication, 07.07.15, 243, Accumulating, A14QBZ, IE00BWBXM385, 
Invesco US Consumer Staples Sector UCITS ETF, Equity Consumer Staples, Swap based; Unfunded, 16.12.09, 37, Accumulating, A0YHMP, IE00B435BG20, 
iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE), Equity Consumer Staples, Full replication, 08.07.02, 252, Distributing, A0H08H, DE000A0H08H3, 
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF - Acc, Equity Consumer Staples, Swap based; Unfunded, 18.08.06, 115, Accumulating, LYX02J, LU1834985845, 
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF - Dist, Equity Consumer Staples, Swap based; Unfunded, 03.09.20, 54, Distributing, LYX04H, LU2082997359, 
Invesco European Food & Bev Sector UCITS ETF, Equity Consumer Staples, Swap based; Unfunded, 07.07.09, 9, Accumulating, A0RPR6, IE00B5MTYL84, 
Invesco European Household Sector UCITS ETF, Equity Consumer Staples, Swap based; Unfunded, 03.07.09, 6, Accumulating, A0RPSC, IE00B5MTZ595, 
iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE), Equity Consumer Staples, Full replication, 08.07.02, 97, Distributing, A0H08N, DE000A0H08N1, 
Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF - Acc, Equity Consumer Staples, Swap based; Unfunded, 18.08.06, 44, Accumulating, LYX02Q, LU1834988351, 
VanEck Oil Services UCITS ETF A, Equity Energy, Full replication, 31.03.23, 7, Accumulating, A3D42Y, IE000NXF88S1, 
Amundi ETF MSCI Europe Energy UCITS ETF EUR (C), Equity Energy, Swap based; Unfunded, 05.10.10, 32, Accumulating, A1C7AK, FR0010930644, 
SPDR MSCI Europe Energy UCITS ETF, Equity Energy, Full replication, 05.12.14, 1128, Accumulating, A1191P, IE00BKWQ0F09, 
iShares MSCI Europe Energy Sector UCITS ETF EUR (Acc), Equity Energy, Full replication, 18.11.20, 135, Accumulating, A2QBZ1, IE00BMW42637, 
iShares MSCI Europe Energy Sector UCITS ETF EUR (Dist), Equity Energy, Full replication, 05.10.22, 3, Distributing, A3DUXY, IE000UDV9YG1, 
Xtrackers MSCI USA Energy UCITS ETF 1D, Equity Energy, Full replication, 12.09.17, 73, Distributing, A1W3F8, IE00BCHWNS19, 
Xtrackers MSCI World Energy UCITS ETF 1C, Equity Energy, Optimized; sampling, 09.03.16, 1181, Accumulating, A113FF, IE00BM67HM91, 
SPDR MSCI World Energy UCITS ETF, Equity Energy, Full replication, 29.04.16, 439, Accumulating, A2AGZ1, IE00BYTRR863, 
iShares MSCI World Energy Sector UCITS ETF USD (Dist), Equity Energy, Full replication, 17.10.19, 367, Distributing, A2PHCF, IE00BJ5JP105, 
iShares S&P 500 Energy Sector UCITS ETF (Acc), Equity Energy, Full replication, 20.11.15, 970, Accumulating, A142NX, IE00B42NKQ00, 
iShares Oil & Gas Exploration & Production UCITS ETF, Equity Energy, Full replication, 16.09.11, 329, Accumulating, A1JKQL, IE00B6R51Z18, 
SPDR S&P US Energy Select Sector UCITS ETF, Equity Energy, Full replication, 07.07.15, 942, Accumulating, A14QB0, IE00BWBXM492, 
Invesco US Energy Sector UCITS ETF, Equity Energy, Swap based; Unfunded, 16.12.09, 82, Accumulating, A0YHMQ, IE00B435CG94, 
iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE), Equity Energy, Full replication, 08.07.02, 881, Distributing, A0H08M, DE000A0H08M3, 
Invesco European Oil & Gas Sector UCITS ETF, Equity Energy, Swap based; Unfunded, 07.07.09, 8, Accumulating, A0RPSB, IE00B5MTWH09, 
Lyxor EURO STOXX Banks (DR) UCITS ETF - Acc, Equity Financials, Full replication, 12.12.13, 1127, Accumulating, LYX0Z5, LU1829219390, 
iShares EURO STOXX Banks 30-15 UCITS ETF (DE), Equity Financials, Full replication, 25.04.01, 1072, Distributing, 628930, DE0006289309, 
iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc), Equity Financials, Full replication, 03.12.21, 167, Accumulating, A2QP37, DE000A2QP372, 
Invesco EURO STOXX Optimised Banks UCITS ETF, Equity Financials, Swap based; Unfunded, 11.04.11, 218, Accumulating, A1JFG7, IE00B3Q19T94, 
Amundi ETF MSCI Europe Banks UCITS ETF EUR (C), Equity Financials, Swap based; Unfunded, 09.12.08, 41, Accumulating, A0REJZ, FR0010688176, 
SPDR MSCI Europe Financials UCITS ETF, Equity Financials, Full replication, 05.12.14, 302, Accumulating, A1191R, IE00BKWQ0G16, 
iShares MSCI Europe Financials Sector UCITS ETF EUR (Acc), Equity Financials, Full replication, 18.11.20, 242, Accumulating, A2QBZ4, IE00BMW42306, 
Xtrackers MSCI USA Banks UCITS ETF 1D, Equity Financials, Full replication, 03.12.18, 23, Distributing, A2N6AF, IE00BDVPTJ63, 
Xtrackers MSCI USA Financials UCITS ETF 1D, Equity Financials, Full replication, 12.09.17, 742, Distributing, A1W3F9, IE00BCHWNT26, 
Lyxor MSCI World Financials TR UCITS ETF - Acc (EUR), Equity Financials, Swap based; Unfunded, 23.08.10, 140, Accumulating, LYX0GL, LU0533032859, 
Lyxor MSCI World Financials TR UCITS ETF - Acc (USD), Equity Financials, Swap based; Unfunded, 23.08.10, 468, Accumulating, LYX0G7, LU0533033071, 
Xtrackers MSCI World Financials UCITS ETF 1C, Equity Financials, Full replication, 04.03.16, 390, Accumulating, A113FE, IE00BM67HL84, 
SPDR MSCI World Financials UCITS ETF, Equity Financials, Full replication, 29.04.16, 207, Accumulating, A2AGZ2, IE00BYTRR970, 
iShares S&P 500 Financials Sector UCITS ETF (Acc), Equity Financials, Full replication, 20.11.15, 912, Accumulating, A142NY, IE00B4JNQZ49, 
iShares S&P U.S. Banks UCITS ETF USD (Acc), Equity Financials, Optimized; sampling, 21.05.18, 276, Accumulating, A2JHXR, IE00BD3V0B10, 
iShares S&P U.S. Banks UCITS ETF USD (Dist), Equity Financials, Full replication, 25.06.21, 4, Distributing, A3CSB1, IE000ZPUEP93, 
SPDR S&P US Financials Select Sector UCITS ETF, Equity Financials, Full replication, 07.07.15, 294, Accumulating, A14QB1, IE00BWBXM500, 
Invesco US Financials Sector UCITS ETF, Equity Financials, Swap based; Unfunded, 16.12.09, 270, Accumulating, A0YHMN, IE00B42Q4896, 
iShares STOXX Europe 600 Banks UCITS ETF (DE), Equity Financials, Full replication, 25.04.01, 1185, Distributing, A0F5UJ, DE000A0F5UJ7, 
Lyxor STOXX Europe 600 Banks UCITS ETF - Acc, Equity Financials, Swap based; Unfunded, 25.08.06, 574, Accumulating, LYX01W, LU1834983477, 
Lyxor STOXX Europe 600 Banks UCITS ETF - Dist, Equity Financials, Swap based; Unfunded, 24.09.20, 25, Distributing, LYX04C, LU2082996112, 
iShares STOXX Europe 600 Financial Services UCITS ETF (DE), Equity Financials, Full replication, 08.07.02, 64, Distributing, A0H08G, DE000A0H08G5, 
Lyxor STOXX Europe 600 Financial Services UCITS ETF - Acc, Equity Financials, Swap based; Unfunded, 18.08.06, 17, Accumulating, LYX02H, LU1834984798, 
Lyxor STOXX Europe 600 Financial Services UCITS ETF - Dist, Equity Financials, Swap based; Unfunded, 24.09.20, 9, Distributing, LYX04G, LU2082997193, 
Invesco European Banks Sector UCITS ETF, Equity Financials, Swap based; Unfunded, 07.07.09, 263, Accumulating, A0RPR1, IE00B5MTWD60, 
Invesco European Financials Sector UCITS ETF, Equity Financials, Swap based; Unfunded, 07.07.09, 5, Accumulating, A0RPR5, IE00B5MTYK77, 
iShares US Medical Devices UCITS ETF USD (Acc), Equity Health Care, Full replication, 03.08.20, 149, Accumulating, A2P64W, IE00BMX0DF60, 
KraneShares MSCI All China Health Care Index UCITS ETF USD, Equity Health Care, Full replication, 14.01.21, 3, Accumulating, None, IE00BL6K0S82, 
Amundi ETF MSCI Europe Healthcare UCITS ETF EUR (C), Equity Health Care, Swap based; Unfunded, 09.12.08, 57, Accumulating, A0REJ2, FR0010688192, 
SPDR MSCI Europe Health Care UCITS ETF, Equity Health Care, Full replication, 05.12.14, 579, Accumulating, A1191S, IE00BKWQ0H23, 
iShares MSCI Europe Health Care Sector UCITS ETF EUR (Acc), Equity Health Care, Full replication, 17.11.20, 526, Accumulating, A2QBZ0, IE00BMW42181, 
Xtrackers MSCI USA Health Care UCITS ETF 1D, Equity Health Care, Full replication, 12.09.17, 879, Distributing, A1W3GB, IE00BCHWNW54, 
Lyxor MSCI World Health Care TR UCITS ETF - Acc (EUR), Equity Health Care, Swap based; Unfunded, 19.08.10, 740, Accumulating, LYX0GM, LU0533033238, 
Lyxor MSCI World Health Care TR UCITS ETF - Acc (USD), Equity Health Care, Swap based; Unfunded, 19.08.10, 92, Accumulating, LYX0G3, LU0533033311, 
Xtrackers MSCI World Health Care UCITS ETF 1C, Equity Health Care, Full replication, 04.03.16, 1731, Accumulating, A113FD, IE00BM67HK77, 
SPDR MSCI World Health Care UCITS ETF, Equity Health Care, Full replication, 29.04.16, 488, Accumulating, A2AE58, IE00BYTRRB94, 
iShares S&P 500 Health Care Sector UCITS ETF (Acc), Equity Health Care, Full replication, 20.11.15, 2183, Accumulating, A142NZ, IE00B43HR379, 
iShares S&P 500 Health Care Sector UCITS ETF EUR Hedged (Dist), Equity Health Care, Full replication, 15.06.20, 111, Distributing, A2P6AX, IE00BMBKBZ46, 
SPDR S&P US Health Care Select Sector UCITS ETF, Equity Health Care, Full replication, 07.07.15, 326, Accumulating, A14QB2, IE00BWBXM617, 
Invesco US Health Care Sector UCITS ETF, Equity Health Care, Swap based; Unfunded, 16.12.09, 291, Accumulating, A0YHMK, IE00B3WMTH43, 
Global X Telemedicine & Digital Health UCITS ETF Acc USD, Equity Health Care, Full replication, 17.12.20, 4, Accumulating, A2QKQ1, IE00BLR6QB00, 
Global X Telemedicine & Digital Health UCITS ETF Dist GBP, Equity Health Care, Full replication, 17.12.20, 0, Distributing, A2QKQ9, IE00BLR6QC17, 
iShares STOXX Europe 600 Health Care UCITS ETF (DE), Equity Health Care, Full replication, 25.04.01, 666, Distributing, A0Q4R3, DE000A0Q4R36, 
Lyxor STOXX Europe 600 Healthcare UCITS ETF - Acc, Equity Health Care, Swap based; Unfunded, 18.08.06, 734, Accumulating, LYX02K, LU1834986900, 
Lyxor STOXX Europe 600 Healthcare UCITS ETF - Dist, Equity Health Care, Swap based; Unfunded, 02.07.20, 74, Distributing, LYX04J, LU2082997516, 
Invesco European Health Care Sector UCITS ETF, Equity Health Care, Swap based; Unfunded, 08.07.09, 12, Accumulating, A0RPR7, IE00B5MJYY16, 
SPDR MSCI Europe Industrials UCITS ETF, Equity Industrials, Full replication, 05.12.14, 376, Accumulating, A1191T, IE00BKWQ0J47, 
iShares MSCI Europe Industrials Sector UCITS ETF EUR (Acc), Equity Industrials, Full replication, 14.05.21, 120, Accumulating, A2QBZ6, IE00BMW42520, 
Xtrackers MSCI USA Industrials UCITS ETF 1D, Equity Industrials, Full replication, 21.01.21, 228, Distributing, A1W3GA, IE00BCHWNV48, 
Xtrackers MSCI World Industrials UCITS ETF 1C, Equity Industrials, Full replication, 14.03.16, 198, Accumulating, A113FN, IE00BM67HV82, 
SPDR MSCI World Industrials UCITS ETF, Equity Industrials, Full replication, 29.04.16, 61, Accumulating, A2AGZ3, IE00BYTRRC02, 
iShares S&P 500 Industrials Sector UCITS ETF, Equity Industrials, Full replication, 20.03.17, 192, Accumulating, A142N0, IE00B4LN9N13, 
SPDR S&P US Industrials Select Sector UCITS ETF, Equity Industrials, Full replication, 07.07.15, 197, Accumulating, A14QB3, IE00BWBXM724, 
Invesco US Industrials Sector UCITS ETF, Equity Industrials, Swap based; Unfunded, 16.12.09, 78, Accumulating, A0YHMM, IE00B3YC1100, 
iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE), Equity Industrials, Full replication, 08.07.02, 105, Distributing, A0H08F, DE000A0H08F7, 
Lyxor STOXX Europe 600 Construction & Materials UCITS ETF - Acc, Equity Industrials, Swap based; Unfunded, 25.08.06, 25, Accumulating, LYX01Z, LU1834983808, 
Lyxor STOXX Europe 600 Construction & Materials UCITS ETF - Dist, Equity Industrials, Swap based; Unfunded, 24.09.20, 7, Distributing, LYX04F, LU2082996898, 
iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE), Equity Industrials, Full replication, 08.07.02, 152, Distributing, A0H08J, DE000A0H08J9, 
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF - Acc, Equity Industrials, Swap based; Unfunded, 18.08.06, 34, Accumulating, LYX02L, LU1834987890, 
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF - Dist, Equity Industrials, Swap based; Unfunded, 03.09.20, 6, Distributing, LYX04K, LU2082997789, 
Invesco European Construction Sector UCITS ETF, Equity Industrials, Swap based; Unfunded, 07.07.09, 9, Accumulating, A0RPR4, IE00B5MTY309, 
Invesco European Industrials Sector UCITS ETF Acc, Equity Industrials, Swap based; Unfunded, 08.07.09, 9, Accumulating, A0RPR8, IE00B5MJYX09, 
HANetf U.S. Global Jets UCITS ETF, Equity Industrials, Full replication, 07.06.21, 5, Accumulating, A3CPGH, IE00BN76Y761, 
iShares Global Infrastructure UCITS ETF, Equity Infrastructure, Full replication, 20.10.06, 1444, Distributing, A0LEW9, IE00B1FZS467, 
iShares Global Infrastructure UCITS ETF USD (Acc), Equity Infrastructure, Full replication, 23.02.23, 1, Accumulating, A3D6N1, IE000CK5G8J7, 
Global X U.S. Infrastructure Development UCITS ETF USD Accumulating, Equity Infrastructure, Full replication, 02.11.21, 221, Accumulating, A2QPB5, IE00BLCHJ534, 
Global X U.S. Infrastructure Development UCITS ETF USD Distributing, Equity Infrastructure, Full replication, 02.11.21, 10, Distributing, A2QR35, IE00BLCHJ641, 
First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF Acc, Equity Infrastructure, Full replication, 21.04.22, 70, Accumulating, A3DGK5, IE000J80JTL1, 
iShares Emerging Market Infrastructure UCITS ETF, Equity Infrastructure, Full replication, 15.02.08, 35, Distributing, A0NECV, IE00B2NPL135, 
Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C, Equity Infrastructure, Swap based; Unfunded, 15.01.08, 206, Accumulating, DBX1AP, LU0322253229, 
Amundi Global Infrastructure UCITS ETF, Equity Infrastructure, Swap based; Unfunded, 10.05.17, 73, Accumulating, A2DN3V, LU1589350310, 
Amundi Index Smart City UCITS ETF (C), Equity Infrastructure, Swap based; Unfunded, 01.10.19, 14, Accumulating, A2PN77, LU2037748345, 
Invesco Dow Jones US Insurance UCITS ETF Acc, Equity Insurance, Full replication, 10.07.23, -, Accumulating, A3EE5K, IE0007UJ6IE0, 
iShares STOXX Europe 600 Insurance UCITS ETF (DE), Equity Insurance, Full replication, 08.07.02, 234, Distributing, A0H08K, DE000A0H08K7, 
Lyxor STOXX Europe 600 Insurance UCITS ETF - Acc, Equity Insurance, Swap based; Unfunded, 18.08.06, 69, Accumulating, LYX02M, LU1834987973, 
Lyxor STOXX Europe 600 Insurance UCITS ETF - Dist, Equity Insurance, Swap based; Unfunded, 03.09.20, 12, Distributing, LYX04L, LU2082997946, 
Invesco European Insurance Sector UCITS ETF Acc, Equity Insurance, Swap based; Unfunded, 08.07.09, 72, Accumulating, A0RPR9, IE00B5MTXJ97, 
iShares STOXX Europe 600 Media UCITS ETF (DE), Equity Media, Full replication, 08.07.02, 8, Distributing, A0H08L, DE000A0H08L5, 
Lyxor STOXX Europe 600 Media UCITS ETF - Acc, Equity Media, Swap based; Unfunded, 18.08.06, 11, Accumulating, LYX02N, LU1834988195, 
Lyxor STOXX Europe 600 Media UCITS ETF - Dist, Equity Media, Swap based; Unfunded, 06.03.20, 2, Distributing, LYX039, LU2082995734, 
Invesco European Media Sector UCITS ETF, Equity Media, Swap based; Unfunded, 03.07.09, 5, Accumulating, A0RPSA, IE00B5MTZ488, 
Invesco European Retail Sector UCITS ETF, Equity Retail, Swap based; Unfunded, 07.07.09, 7, Accumulating, A0RPSD, IE00B5MTZM66, 
iShares STOXX Europe 600 Retail UCITS ETF (DE), Equity Retail, Full replication, 08.07.02, 11, Distributing, A0H08P, DE000A0H08P6, 
Lyxor STOXX Europe 600 Retail UCITS ETF - Acc, Equity Retail, Swap based; Unfunded, 25.08.06, 11, Accumulating, LYX02R, LU1834988435, 
Lyxor STOXX Europe 600 Retail UCITS ETF - Dist, Equity Retail, Swap based; Unfunded, 24.09.20, 2, Distributing, LYX04P, LU2082998670, 
First Trust Dow Jones International Internet UCITS ETF Acc, Equity Technology, Full replication, 17.01.17, 4, Accumulating, A2DGY4, IE00BT9PVG14, 
First Trust Dow Jones Internet UCITS ETF Acc, Equity Technology, Full replication, 18.06.18, 37, Accumulating, A2JHJX, IE00BG0SSC32, 
HSBC Hang Seng TECH UCITS ETF HKD, Equity Technology, Full replication, 09.12.20, 332, Accumulating, A2QHV0, IE00BMWXKN31, 
SPDR MSCI Europe Technology UCITS ETF, Equity Technology, Full replication, 05.12.14, 61, Accumulating, A1191U, IE00BKWQ0K51, 
iShares MSCI Europe Information Technology Sector UCITS ETF EUR (Acc), Equity Technology, Full replication, 18.11.20, 315, Accumulating, A2QBZ3, IE00BMW42413, 
Xtrackers MSCI USA Information Technology UCITS ETF 1D, Equity Technology, Full replication, 12.09.17, 1345, Distributing, A1W9KD, IE00BGQYRS42, 
Lyxor MSCI World Information Technology TR UCITS ETF - Acc (EUR), Equity Technology, Swap based; Unfunded, 16.08.10, 1176, Accumulating, LYX0GP, LU0533033667, 
Lyxor MSCI World Information Technology TR UCITS ETF - Acc (USD), Equity Technology, Swap based; Unfunded, 16.08.10, 100, Accumulating, LYX0GZ, LU0533033741, 
SPDR MSCI World Technology UCITS ETF, Equity Technology, Full replication, 29.04.16, 423, Accumulating, A2AE57, IE00BYTRRD19, 
Xtrackers MSCI World Information Technology UCITS ETF 1C, Equity Technology, Full replication, 09.03.16, 2196, Accumulating, A113FM, IE00BM67HT60, 
Lyxor Nasdaq-100 UCITS ETF - Acc, Equity Technology, Swap based; Unfunded, 07.09.01, 1757, Accumulating, LYX00F, LU1829221024, 
Invesco EQQQ Nasdaq-100 UCITS ETF, Equity Technology, Full replication, 02.12.02, 4621, Distributing, 801498, IE0032077012, 
iShares Nasdaq 100 UCITS ETF (DE), Equity Technology, Full replication, 27.03.06, 3103, Distributing, A0F5UF, DE000A0F5UF5, 
iShares Nasdaq 100 UCITS ETF (Acc), Equity Technology, Full replication, 26.01.10, 9041, Accumulating, A0YEDL, IE00B53SZB19, 
Amundi Nasdaq 100 UCITS ETF EUR (C), Equity Technology, Swap based; Unfunded, 18.04.18, 923, Accumulating, A2H577, LU1681038243, 
Amundi Nasdaq 100 UCITS ETF USD, Equity Technology, Swap based; Unfunded, 18.04.18, 186, Accumulating, A2H578, LU1681038326, 
Invesco EQQQ Nasdaq-100 UCITS ETF Acc, Equity Technology, Full replication, 24.09.18, 1383, Accumulating, A2N6RV, IE00BFZXGZ54, 
Lyxor Nasdaq-100 UCITS ETF - Dist, Equity Technology, Swap based; Unfunded, 10.09.20, 700, Distributing, LYX05V, LU2197908721, 
Xtrackers Nasdaq 100 UCITS ETF 1C, Equity Technology, Full replication, 21.01.21, 354, Accumulating, A2QJU3, IE00BMFKG444, 
Invesco Nasdaq-100 Swap UCITS ETF Acc, Equity Technology, Swap based; Unfunded, 22.03.21, 157, Accumulating, A2QMHS, IE00BNRQM384, 
Invesco Nasdaq-100 Swap UCITS ETF Dist, Equity Technology, Swap based; Unfunded, 21.06.21, 27, Distributing, A3CPL4, IE000RUF4QN8, 
AXA IM Nasdaq 100 UCITS ETF USD Acc, Equity Technology, Full replication, 16.11.22, 463, Accumulating, A3DXEB, IE000QDFFK00, 
Invesco Nasdaq-100 UCITS ETF CHF Hedged, Equity Technology, Full replication, 17.10.17, 140, Accumulating, A2JAN0, IE00BYVTMT69, 
Invesco Nasdaq-100 UCITS ETF EUR Hedged, Equity Technology, Full replication, 17.10.17, 201, Accumulating, A2DT9V, IE00BYVTMS52, 
Amundi Nasdaq 100 UCITS ETF Daily Hedged EUR (C), Equity Technology, Swap based; Unfunded, 18.04.18, 591, Accumulating, A2H579, LU1681038599, 
iShares Nasdaq 100 UCITS ETF EUR Hedged Acc, Equity Technology, Full replication, 10.09.18, 561, Accumulating, A2N34W, IE00BYVQ9F29, 
Lyxor Nasdaq-100 UCITS ETF - Daily Hedged to EUR - Acc, Equity Technology, Swap based; Unfunded, 19.01.21, 13, Accumulating, LYX02Z, LU1954152853, 
Invesco Nasdaq Next Generation 100 UCITS ETF Acc, Equity Technology, Full replication, 22.03.21, 32, Accumulating, A2QPVX, IE00BMD8KP97, 
iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc), Equity Technology, Full replication, 20.11.15, 3644, Accumulating, A142N1, IE00B3WJKG14, 
Invesco US Technology Sector UCITS ETF, Equity Technology, Swap based; Unfunded, 16.12.09, 514, Accumulating, A0YHMJ, IE00B3VSSL01, 
SPDR S&P US Technology Select Sector UCITS ETF, Equity Technology, Full replication, 07.07.15, 721, Accumulating, A14QB5, IE00BWBXM948, 
Invesco European Technology Sector UCITS ETF, Equity Technology, Swap based; Unfunded, 08.07.09, 10, Accumulating, A0RPSE, IE00B5MTWZ80, 
iShares STOXX Europe 600 Technology UCITS ETF (DE) EUR (Dist), Equity Technology, Full replication, 25.04.01, 143, Distributing, A0H08Q, DE000A0H08Q4, 
Lyxor STOXX Europe 600 Technology UCITS ETF - Acc, Equity Technology, Swap based; Unfunded, 18.08.06, 109, Accumulating, LYX02S, LU1834988518, 
Lyxor STOXX Europe 600 Technology UCITS ETF - Dist, Equity Technology, Swap based; Unfunded, 03.09.20, 24, Distributing, LYX04Q, LU2082998837, 
iShares STOXX Europe 600 Technology UCITS ETF (DE) EUR (Acc), Equity Technology, Full replication, 06.04.22, 2, Accumulating, A2QP39, DE000A2QP398, 
iShares TecDAX UCITS ETF (DE), Equity Technology, Full replication, 06.04.01, 720, Accumulating, 593397, DE0005933972, 
Lyxor 1 TecDAX® UCITS ETF, Equity Technology, Full replication, 27.10.16, 85, Distributing, ETF908, DE000ETF9082, 
iShares TecDAX® UCITS ETF (DE) EUR (Dist), Equity Technology, Full replication, 27.04.21, 7, Distributing, A2QP32, DE000A2QP323, 
SPDR MSCI Europe Communication Services UCITS ETF, Equity Telecommunication, Full replication, 05.12.14, 35, Accumulating, A1191X, IE00BKWQ0N82, 
Xtrackers MSCI USA Communication Services UCITS ETF 1D, Equity Telecommunication, Full replication, 21.01.21, 269, Distributing, A2QGNF, IE00BNC1G707, 
SPDR MSCI World Telecommunications UCITS ETF, Equity Telecommunication, Full replication, 29.04.16, 41, Accumulating, A2AGZ4, IE00BYTRRG40, 
Xtrackers MSCI World Communication Services UCITS ETF 1C, Equity Telecommunication, Full replication, 16.03.16, 210, Accumulating, A113FK, IE00BM67HR47, 
iShares S&P 500 Communication Sector UCITS ETF USD (Acc), Equity Telecommunication, Full replication, 17.09.18, 152, Accumulating, A2JQ2H, IE00BDDRF478, 
SPDR S&P U.S. Communication Services Select Sector UCITS ETF, Equity Telecommunication, Full replication, 15.08.18, 124, Accumulating, A2JPTK, IE00BFWFPX50, 
Invesco Communications S&P US Select Sector UCITS ETF A, Equity Telecommunication, Swap based; Unfunded, 14.09.18, 80, Accumulating, A2JQDH, IE00BG7PP820, 
Invesco European Telecoms Sector UCITS ETF, Equity Telecommunication, Swap based; Unfunded, 08.07.09, 3, Accumulating, A0RPSF, IE00B5MJYB88, 
iShares STOXX Europe 600 Telecommunications UCITS ETF (DE), Equity Telecommunication, Full replication, 25.04.01, 223, Distributing, A0H08R, DE000A0H08R2, 
Lyxor STOXX Europe 600 Telecommunications UCITS ETF - Acc, Equity Telecommunication, Swap based; Unfunded, 25.08.06, 36, Accumulating, LYX02T, LU1834988609, 
Lyxor STOXX Europe 600 Telecommunications UCITS ETF - Dist, Equity Telecommunication, Swap based; Unfunded, 24.09.20, 5, Distributing, LYX04R, LU2082999058, 
Invesco European Travel Sector UCITS ETF, Equity Travel & Leisure, Swap based; Unfunded, 07.07.09, 9, Accumulating, A0RPSG, IE00B5MJYC95, 
iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE), Equity Travel & Leisure, Full replication, 08.07.02, 132, Distributing, A0H08S, DE000A0H08S0, 
Lyxor STOXX Europe 600 Travel & Leisure UCITS ETF - Acc, Equity Travel & Leisure, Swap based; Unfunded, 25.08.06, 85, Accumulating, LYX02U, LU1834988781, 
Lyxor STOXX Europe 600 Travel & Leisure UCITS ETF - Dist, Equity Travel & Leisure, Swap based; Unfunded, 24.09.20, 8, Distributing, LYX04S, LU2082999132, 
SPDR MSCI Europe Utilities UCITS ETF, Equity Utilities, Full replication, 05.12.14, 77, Accumulating, A1191Y, IE00BKWQ0P07, 
Xtrackers MSCI World Utilities UCITS ETF 1C, Equity Utilities, Full replication, 16.03.16, 103, Accumulating, A113FJ, IE00BM67HQ30, 
SPDR MSCI World Utilits UCITS ETF, Equity Utilities, Full replication, 29.04.16, 20, Accumulating, A2AGZ5, IE00BYTRRH56, 
iShares S&P 500 Utilities Sector UCITS ETF USD (Acc), Equity Utilities, Full replication, 20.03.17, 231, Accumulating, A142N3, IE00B4KBBD01, 
Invesco US Utilities Sector UCITS ETF, Equity Utilities, Swap based; Unfunded, 16.12.09, 104, Accumulating, A0YHMH, IE00B3VPKB53, 
SPDR S&P US Utilities Select Sector UCITS ETF, Equity Utilities, Full replication, 07.07.15, 26, Accumulating, A14QB6, IE00BWBXMB69, 
Invesco European Utilities Sector UCITS ETF, Equity Utilities, Swap based; Unfunded, 08.07.09, 5, Accumulating, A0RPSH, IE00B5MTXK03, 
iShares STOXX Europe 600 Utilities UCITS ETF (DE), Equity Utilities, Full replication, 08.07.02, 227, Distributing, A0Q4R0, DE000A0Q4R02, 
Lyxor STOXX Europe 600 Utilities UCITS ETF - Acc, Equity Utilities, Swap based; Unfunded, 25.08.06, 41, Accumulating, LYX02V, LU1834988864, 
