Name, Region, Title, Term start, Term end, Party, Assembly, Vice(s)
Oscar Torp, Norway, Prime Minister, 09/11/1951, 22/01/1955, Labour, Storting, —
Einar Gerhardsen, Norway, Prime Minister, 22/01/1955, 12/10/1965, Labour, Storting, —
Per Borten, Norway, Prime Minister, 12/10/1965, 17/03/1971, Centre, Storting, —
Trygve Bratteli, Norway, Prime Minister, 17/03/1971, 18/10/1972, Labour, Storting, —
Lars Korvald, Norway, Prime Minister, 18/10/1972, 16/10/1973, Christian Democratic, Storting, —
Trygve Bratteli, Norway, Prime Minister, 16/10/1973, 15/01/1976, Labour, Storting, —
Odvar Nordli, Norway, Prime Minister, 15/01/1976, 04/02/1981, Labour, Storting, —
Gro Harlem Brundtland, Norway, Prime Minister, 04/02/1981, 14/10/1981, Labour, Storting, —
Kåre Willoch, Norway, Prime Minister, 14/10/1981, 09/05/1986, Conservative, Storting, —
Gro Harlem Brundtland, Norway, Prime Minister, 09/05/1986, 16/10/1989, Labour, Storting, —
Jan P. Syse, Norway, Prime Minister, 16/10/1989, 03/11/1990, Conservative, Storting, —
Gro Harlem Brundtland, Norway, Prime Minister, 03/11/1990, 25/10/1996, Labour, Storting, —
Thorbjørn Jagland, Norway, Prime Minister, 25/10/1996, 17/10/1997, Labour, Storting, —
Kjell Magne Bondevik, Norway, Prime Minister, 17/10/1997, 17/03/2000, Christian Democratic, Storting, —
Jens Stoltenberg, Norway, Prime Minister, 17/03/2000, 19/10/2001, Labour, Storting, —
Kjell Magne Bondevik, Norway, Prime Minister, 19/10/2001, 17/10/2005, Christian Democratic, Storting, —
Jens Stoltenberg, Norway, Prime Minister, 17/10/2005, 16/10/2013, Labour, Storting, —
Erna Solberg, Norway, Prime Minister, 16/10/2013, 14/10/2021, Conservative, Storting, —
Jonas Gahr Støre, Norway, Prime Minister, 14/10/2021, Present, Labour, Storting, —
Henry Sewell, New Zealand, Prime Minister, 1856-05-07, 1856-05-20, —, Parliament, —
William Fox, New Zealand, Prime Minister, 1856-05-20, 1856-06-02, —, Parliament, —
Edward Stafford, New Zealand, Prime Minister, 1856-06-02, 1861-07-12, —, Parliament, —
William Fox, New Zealand, Prime Minister, 1861-07-12, 1862-08-06, —, Parliament, —
Alfred Domett, New Zealand, Prime Minister, 1862-08-06, 1863-10-30, —, Parliament, —
Frederick Whitaker, New Zealand, Prime Minister, 1863-10-30, 1864-11-24, —, Parliament, —
Frederick Weld, New Zealand, Prime Minister, 1864-11-24, 1865-10-16, —, Parliament, —
Edward Stafford, New Zealand, Prime Minister, 1865-10-16, 1869-06-28, —, Parliament, —
William Fox, New Zealand, Prime Minister, 1869-06-28, 1872-09-10, —, Parliament, —
Edward Stafford, New Zealand, Prime Minister, 1872-09-10, 1872-10-11, —, Parliament, —
George Waterhouse, New Zealand, Prime Minister, 1872-10-11, 1873-03-03, —, Parliament, —
Julius Vogel, New Zealand, Prime Minister, 1873-04-08, 1875-07-06, —, Parliament, —
Daniel Pollen, New Zealand, Prime Minister, 1875-07-06, 1876-02-15, —, Parliament, —
Harry Atkinson, New Zealand, Prime Minister, 1876-09-01, 1877-09-13, —, Parliament, —
George Grey, New Zealand, Prime Minister, 1877-10-13, 1879-10-08, —, Parliament, —
John Hall, New Zealand, Prime Minister, 1879-10-08, 1882-04-21, —, Parliament, —
Frederick Whitaker, New Zealand, Prime Minister, 1882-04-21, 1883-09-25, —, Parliament, —
Harry Atkinson, New Zealand, Prime Minister, 1883-09-25, 1884-08-16, —, Parliament, —
Robert Stout, New Zealand, Prime Minister, 1884-08-16, 1887-10-08, —, Parliament, —
Harry Atkinson, New Zealand, Prime Minister, 1887-10-08, 1891-01-24, —, Parliament, —
John Ballance, New Zealand, Prime Minister, 1891-01-24, 1893-04-27, Liberal, Parliament, —
Richard Seddon, New Zealand, Prime Minister, 1893-04-27, 1906-06-10, Liberal, Parliament, —
William Hall-Jones, New Zealand, Prime Minister, 1906-06-10, 1906-08-06, Liberal, Parliament, —
Joseph Ward, New Zealand, Prime Minister, 1906-08-06, 1912-03-28, Liberal, Parliament, —
Thomas Mackenzie, New Zealand, Prime Minister, 1912-03-28, 1912-07-10, Liberal, Parliament, —
William Massey, New Zealand, Prime Minister, 1912-07-10, 1925-05-10, Reform, Parliament, —
Francis Bell, New Zealand, Prime Minister, 1925-05-10, 1925-05-30, Reform, Parliament, —
Gordon Coates, New Zealand, Prime Minister, 1925-05-30, 1928-12-10, Reform, Parliament, —
Joseph Ward, New Zealand, Prime Minister, 1928-12-10, 1930-05-28, United, Parliament, —
George Forbes, New Zealand, Prime Minister, 1930-05-28, 1935-12-06, United/Reform, Parliament, —
Michael Joseph Savage, New Zealand, Prime Minister, 1935-12-06, 1940-03-27, Labour, Parliament, —
Peter Fraser, New Zealand, Prime Minister, 1940-03-27, 1949-12-13, Labour, Parliament, —
Sidney Holland, New Zealand, Prime Minister, 1949-12-13, 1957-09-20, National, Parliament, —
Keith Holyoake, New Zealand, Prime Minister, 1957-09-20, 1957-12-12, National, Parliament, —
Walter Nash, New Zealand, Prime Minister, 1957-12-12, 1960-12-12, Labour, Parliament, —
Keith Holyoake, New Zealand, Prime Minister, 1960-12-12, 1972-02-07, National, Parliament, —
Jack Marshall, New Zealand, Prime Minister, 1972-02-07, 1972-12-08, National, Parliament, —
Norman Kirk, New Zealand, Prime Minister, 1972-12-08, 1974-08-31, Labour, Parliament, —
Bill Rowling, New Zealand, Prime Minister, 1974-09-06, 1975-12-12, Labour, Parliament, —
Robert Muldoon, New Zealand, Prime Minister, 1975-12-12, 1984-07-26, National, Parliament, —
David Lange, New Zealand, Prime Minister, 1984-07-26, 1989-08-08, Labour, Parliament, —
Geoffrey Palmer, New Zealand, Prime Minister, 1989-08-08, 1990-09-04, Labour, Parliament, —
Mike Moore, New Zealand, Prime Minister, 1990-09-04, 1990-11-02, Labour, Parliament, —
Jim Bolger, New Zealand, Prime Minister, 1990-11-02, 1997-12-08, National, Parliament, —
Jenny Shipley, New Zealand, Prime Minister, 1997-12-08, 1999-12-10, National, Parliament, —
Helen Clark, New Zealand, Prime Minister, 1999-12-10, 2008-11-19, Labour, Parliament, —
John Key, New Zealand, Prime Minister, 2008-11-19, 2016-12-12, National, Parliament, —
Bill English, New Zealand, Prime Minister, 2016-12-12, 2017-10-26, National, Parliament, —
Jacinda Ardern, New Zealand, Prime Minister, 2017-10-26, 2023-01-25, Labour, Parliament, —
Chris Hipkins, New Zealand, Prime Minister, 2023-01-25, 2023-11-27, Labour, Parliament, —
Christopher Luxon, New Zealand, Prime Minister, 2023-11-27, Present, National, Parliament, —
Lajos Batthyány, Hungary, Prime Minister, 1848-03-17, 1848-10-02, Liberal, National Assembly, —
Bertalan Szemere, Hungary, Prime Minister, 1849-05-02, 1849-08-11, Liberal, National Assembly, —
Gyula Andrássy, Hungary, Prime Minister, 1867-02-17, 1871-11-14, Deák Party, Diet, —
Menyhért Lónyay, Hungary, Prime Minister, 1871-11-14, 1872-12-05, Deák Party, Diet, —
József Szlávy, Hungary, Prime Minister, 1872-12-05, 1874-03-21, Liberal, Diet, —
István Bittó, Hungary, Prime Minister, 1874-03-21, 1875-03-02, Liberal, Diet, —
Kálmán Tisza, Hungary, Prime Minister, 1875-10-20, 1890-03-13, Liberal, Diet, —
Gyula Szapáry, Hungary, Prime Minister, 1890-03-13, 1892-11-17, Liberal, Diet, —
Sándor Wekerle, Hungary, Prime Minister, 1892-11-17, 1895-01-14, Liberal, Diet, —
Dezső Bánffy, Hungary, Prime Minister, 1895-01-14, 1899-02-26, Liberal, Diet, —
Kálmán Széll, Hungary, Prime Minister, 1899-02-26, 1903-06-27, Liberal, Diet, —
István Tisza, Hungary, Prime Minister, 1903-11-03, 1905-06-18, Liberal, Diet, —
Géza Fejérváry, Hungary, Prime Minister, 1905-06-18, 1906-04-08, Independent, Diet, —
Sándor Wekerle, Hungary, Prime Minister, 1906-04-08, 1910-01-17, Independence Party, Diet, —
Károly Khuen-Héderváry, Hungary, Prime Minister, 1910-01-17, 1912-04-22, National Party of Work, Diet, —
László Lukács, Hungary, Prime Minister, 1912-04-22, 1913-06-10, National Party of Work, Diet, —
István Tisza, Hungary, Prime Minister, 1913-06-10, 1917-05-23, National Party of Work, Diet, —
Sándor Wekerle, Hungary, Prime Minister, 1917-08-20, 1918-10-31, Independence Party, Diet, —
Mihály Károlyi, Hungary, Prime Minister, 1918-10-31, 1919-01-11, Independent, National Council, —
Dénes Berinkey, Hungary, Prime Minister, 1919-01-11, 1919-03-21, Independent, National Council, —
Pál Teleki, Hungary, Prime Minister, 1920-07-19, 1921-04-14, Independent, National Assembly, —
István Bethlen, Hungary, Prime Minister, 1921-04-14, 1931-08-24, Unity Party, National Assembly, —
Gyula Gömbös, Hungary, Prime Minister, 1932-10-01, 1936-10-06, National Unity, National Assembly, —
Kálmán Darányi, Hungary, Prime Minister, 1936-10-12, 1938-05-14, National Unity, National Assembly, —
Béla Imrédy, Hungary, Prime Minister, 1938-05-14, 1939-02-16, Independent, National Assembly, —
Pál Teleki, Hungary, Prime Minister, 1939-02-16, 1941-04-03, Independent, National Assembly, —
László Bárdossy, Hungary, Prime Minister, 1941-04-03, 1942-03-07, Independent, National Assembly, —
Miklós Kállay, Hungary, Prime Minister, 1942-03-09, 1944-03-19, Independent, National Assembly, —
Döme Sztójay, Hungary, Prime Minister, 1944-03-22, 1944-08-29, Pro-German, National Assembly, —
Géza Lakatos, Hungary, Prime Minister, 1944-08-29, 1944-10-15, Military, National Assembly, —
Ferenc Szálasi, Hungary, Prime Minister, 1944-10-16, 1945-03-28, Fascist, —, —
Ferenc Nagy, Hungary, Prime Minister, 1946-02-04, 1947-05-31, Smallholders, National Assembly, —
Lajos Dinnyés, Hungary, Prime Minister, 1947-05-31, 1948-12-10, Smallholders, National Assembly, —
Mátyás Rákosi, Hungary, De facto PM (Party Leader), 1949-08-20, 1953-07-04, Communist, National Assembly, —
Imre Nagy, Hungary, Prime Minister, 1953-07-04, 1955-04-18, Communist, National Assembly, —
András Hegedüs, Hungary, Prime Minister, 1955-04-18, 1956-10-24, Communist, National Assembly, —
Imre Nagy, Hungary, Prime Minister, 1956-10-24, 1956-11-04, Communist, National Assembly, —
János Kádár, Hungary, Prime Minister, 1956-11-04, 1958-01-28, Communist, National Assembly, —
Ferenc Münnich, Hungary, Prime Minister, 1958-01-28, 1961-09-13, Communist, National Assembly, —
Gyula Kállai, Hungary, Prime Minister, 1965-06-30, 1967-04-14, Communist, National Assembly, —
Jenő Fock, Hungary, Prime Minister, 1967-04-14, 1975-05-15, Communist, National Assembly, —
György Lázár, Hungary, Prime Minister, 1975-05-15, 1987-06-25, Communist, National Assembly, —
Károly Grósz, Hungary, Prime Minister, 1987-06-25, 1988-11-24, Communist, National Assembly, —
Miklós Németh, Hungary, Prime Minister, 1988-11-24, 1990-05-23, Communist/Reform, National Assembly, —
József Antall, Hungary, Prime Minister, 1990-05-23, 1993-12-12, MDF, National Assembly, —
Péter Boross, Hungary, Prime Minister, 1993-12-12, 1994-07-15, MDF, National Assembly, —
Gyula Horn, Hungary, Prime Minister, 1994-07-15, 1998-07-06, Socialist, National Assembly, —
Viktor Orbán, Hungary, Prime Minister, 1998-07-06, 2002-05-27, Fidesz, National Assembly, —
Péter Medgyessy, Hungary, Prime Minister, 2002-05-27, 2004-09-29, Socialist, National Assembly, —
Ferenc Gyurcsány, Hungary, Prime Minister, 2004-09-29, 2009-04-14, Socialist, National Assembly, —
Gordon Bajnai, Hungary, Prime Minister, 2009-04-14, 2010-05-29, Independent, National Assembly, —
Viktor Orbán, Hungary, Prime Minister, 2010-05-29, Present, Fidesz, National Assembly, —
