Country,week day,day,meaning,type,notes
curacao,Monday,Apr 06,Easter Monday,National Holiday,
curacao,Monday,Apr 27,King's Birthday,National Holiday,National Day
curacao,Friday,May 01,Labour Day,National Holiday,International Workers' Day
curacao,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
curacao,Thursday,Jul 02,National Anthem and Flag Day,National Holiday,
curacao,Saturday,Oct 10,Curaçao Day,National Holiday,
curacao,Friday,Dec 25,Christmas Day,National Holiday,
curacao,Saturday,Dec 26,Day after Christmas,National Holiday,
curacao,Thursday,Dec 31,New Year's Eve,National Holiday,
cyprus,Thursday,Jan 01,New Year's Day,National Holiday,
cyprus,Tuesday,Jan 06,Feast of the Theophany,National Holiday,
cyprus,Monday,Feb 23,Green Monday,National Holiday,Orthodox Shrove Monday
cyprus,Wednesday,Mar 25,Greek Independence Day,National Holiday,
cyprus,Wednesday,Apr 01,National Day,National Holiday,Marks the start of the struggle for indpendence
cyprus,Friday,Apr 10,Orthodox Good Friday,National Holiday,
cyprus,Monday,Apr 13,Orthodox Easter Monday,National Holiday,
cyprus,Tuesday,Apr 14,Orthodox Easter Tuesday,Not A Public Holiday,Banks only
cyprus,Friday,May 01,Labour Day,National Holiday,International Workers' Day
cyprus,Monday,Jun 01,Orthodox Pentecost Monday,National Holiday,Kataklysmos
cyprus,Saturday,Aug 15,Dormition of the Theotokos,National Holiday,
cyprus,Thursday,Oct 01,Cypriot Independence Day,National Holiday,
cyprus,Wednesday,Oct 28,Ochi Day,National Holiday,The Ochi day
cyprus,Friday,Dec 25,Christmas Day,National Holiday,
cyprus,Saturday,Dec 26,Boxing Day,National Holiday,
czech-republic,Thursday,Jan 01,Restoration Day of the Independent Czech State,National Holiday,
czech-republic,Friday,Apr 03,Good Friday,National Holiday,
czech-republic,Monday,Apr 06,Easter Monday,National Holiday,
czech-republic,Friday,May 01,Labour Day,National Holiday,International Workers' Day
czech-republic,Friday,May 08,Liberation Day,National Holiday,
czech-republic,Sunday,May 10,Mother's Day,Not A Public Holiday,
czech-republic,Sunday,Jul 05,St Cyril and Methodius Day,National Holiday,
czech-republic,Monday,Jul 06,Jan Hus Day,National Holiday,
czech-republic,Friday,Aug 21,Day of Memory,Not A Public Holiday,
czech-republic,Monday,Sep 28,St. Wenceslas Day,National Holiday,Day of the Czech statehood
czech-republic,Wednesday,Oct 28,Independent Czechoslovak State Day,National Holiday,National Day
czech-republic,Tuesday,Nov 17,Struggle for Freedom and Democracy Day,National Holiday,
czech-republic,Thursday,Dec 24,Christmas Eve,National Holiday,
czech-republic,Friday,Dec 25,Christmas Day,National Holiday,First Christmas Holiday
czech-republic,Saturday,Dec 26,St. Stephen's Day,National Holiday,Second Christmas Holiday
denmark,Thursday,Jan 01,New Year's Day,Nytårsdag,Public Holiday,
denmark,Thursday,Apr 02,Maundy Thursday,Skærtorsdag,Public Holiday,Thursday before Easter Sunday
denmark,Friday,Apr 03,Good Friday,Langfredag,Public Holiday,
denmark,Monday,Apr 06,Easter Monday,Anden påskedag,Public Holiday,
denmark,Friday,May 01,General Prayer Day,Store bededag,Not A Public Holiday,The 4th Friday after Easter
denmark,Friday,May 01,Labour Day,Arbejdernes kampdag,Not A Public Holiday,A holiday for certain sectors of the workforce
denmark,Sunday,May 10,Mother's Day,Mors dag,Not A Public Holiday,2nd Sunday in May
denmark,Thursday,May 14,Ascension Day,Kristi himmelfart,Public Holiday,39 days after Easter Sunday
denmark,Friday,May 15,Bank Holiday,Banklukkedag,Not A Public Holiday,Banks are closed
denmark,Sunday,May 24,Pentecost Sunday,Pinsedag,Public Holiday,50 Days after Easter
denmark,Monday,May 25,Whit Monday,Anden pinsedag,Public Holiday,7th Monday after Easter
denmark,Friday,Jun 05,Constitution Day,Grundlovsdag,Government Holiday,Government and Banks. Optional in Private sector
denmark,Friday,Jun 05,Father's Day,Fars dag,Not A Public Holiday,Celebrated on Constitution Day
denmark,Thursday,Dec 24,Christmas Eve Day,Juleaftensdag,Public Holiday,Widely observed
denmark,Friday,Dec 25,Christmas Day,Jul,Public Holiday,
denmark,Saturday,Dec 26,Second Day of Christmas,Anden juledag,Public Holiday,
denmark,Thursday,Dec 31,New Year's Eve,Nytårsaften,Not A Public Holiday,Banks are closed
djibouti,Thursday,Jan 01,New Year's Day,
djibouti,Friday,Jan 16,Al Isra et Al Mirague,Ascension of the Prophet
djibouti,Friday,Mar 20,Eid ul-Fitr,End of Ramadan
djibouti,Saturday,Mar 21,Eid ul-Fitr Holiday Holiday,
djibouti,Friday,May 01,Labour Day,International Workers' Day
djibouti,Thursday,May 28,Eid Al Adha,Feast of the Sacrifice
djibouti,Friday,May 29,Eid Al Adha Holiday,
djibouti,Tuesday,Jun 16,Awal Muharram,Islamic New Year
djibouti,Saturday,Jun 27,Independence Day,National Day
djibouti,Tuesday,Aug 25,Prophet Mohammed's Birthday,Birthday of Prophet Muhammad
djibouti,Friday,Dec 25,Christmas Day,
dominica,Thursday,Jan 01,New Year's Day,National Holiday,
dominica,Monday,Feb 16,Carnival Monday,National Holiday,Monday before Ash Wednesday
dominica,Tuesday,Feb 17,Carnival Tuesday,National Holiday,Tuesday before Ash Wednesday
dominica,Friday,Apr 03,Good Friday,National Holiday,
dominica,Monday,Apr 06,Easter Monday,National Holiday,
dominica,Monday,May 04,Labour Day,National Holiday,First Monday in May
dominica,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
dominica,Monday,Aug 03,Emancipation Day,National Holiday,August Monday
dominica,Tuesday,Nov 03,Independence Day,National Holiday,National Day
dominica,Wednesday,Nov 04,National Day of Community Service,National Holiday,
dominica,Friday,Dec 25,Christmas Day,National Holiday,
dominica,Saturday,Dec 26,Boxing Day,National Holiday,
dominican-republic,Thursday,Jan 01,New Year's Day,National Holiday,
dominican-republic,Monday,Jan 05,Epiphany,National Holiday,Monday before Epiphany
dominican-republic,Wednesday,Jan 21,Lady of Altagracia,National Holiday,
dominican-republic,Monday,Jan 26,Juan Pablo Duarte Day,National Holiday,
dominican-republic,Friday,Feb 27,Independence Day,National Holiday,
dominican-republic,Friday,Apr 03,Good Friday,National Holiday,
dominican-republic,Sunday,Apr 05,Easter Day,National Holiday,
dominican-republic,Monday,May 04,Labour Day (in lieu),National Holiday,International Workers' Day
dominican-republic,Sunday,May 31,Mother's Day,Not A Public Holiday,Last Sunday in May. Not a public holiday
dominican-republic,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
dominican-republic,Sunday,Jul 26,Father's Day,Not A Public Holiday,Last Sunday in July. Not a public holiday
dominican-republic,Sunday,Aug 16,Restoration Day,National Holiday,
dominican-republic,Thursday,Sep 24,Our Lady of Mercedes Day,National Holiday,
dominican-republic,Monday,Nov 09,Constitution Day,National Holiday,
dominican-republic,Friday,Dec 25,Christmas Day,National Holiday,
dr-congo,Thursday,Jan 01,New Year's Day,National Holiday,
dr-congo,Sunday,Jan 04,Day of the Martyrs,National Holiday,
dr-congo,Friday,Jan 16,Heroe's Day,National Holiday,Remembrance of Laurent Kabila
dr-congo,Saturday,Jan 17,Heroe's Day,National Holiday,Remembrance of Patrice Lumumba
dr-congo,Monday,Apr 06,Kimbangu Day,National Holiday,
dr-congo,Friday,May 01,Labour Day,National Holiday,International Workers' Day
dr-congo,Sunday,May 17,Liberation Day,National Holiday,
dr-congo,Tuesday,Jun 30,Independence Day,National Holiday,National Day
dr-congo,Saturday,Aug 01,Parents' Day,National Holiday,
dr-congo,Friday,Dec 25,Christmas Day,National Holiday,
east-timor,Thursday,Jan 01,New Year's Day,National Holiday,
east-timor,Tuesday,Feb 17,Chinese New Year,Government Holiday,Public sector only
east-timor,Wednesday,Feb 18,Ash Wednesday,Government Holiday,Public sector only
east-timor,Tuesday,Mar 03,Veterans' Day,National Holiday,
east-timor,Friday,Mar 20,Idul Fitri,National Holiday,End of Ramadan
east-timor,Thursday,Apr 02,Holy Thursday,Government Holiday,Public sector only
east-timor,Friday,Apr 03,Holy Friday,National Holiday,
east-timor,Friday,May 01,Labour Day,National Holiday,International Workers' Day
east-timor,Wednesday,May 20,Independence Restoration Day,National Holiday,National Day
east-timor,Wednesday,May 27,Idul Adha,National Holiday,Feast of the Sacrifice
east-timor,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
east-timor,Sunday,Aug 30,Popular Consultation Day,National Holiday,
east-timor,Sunday,Nov 01,All Saints' Day,National Holiday,
east-timor,Monday,Nov 02,All Souls' Day,National Holiday,
east-timor,Tuesday,Nov 03,National Women's Day,National Holiday,
east-timor,Thursday,Nov 12,Youth National Day,National Holiday,
east-timor,Saturday,Nov 28,Proclamation of Independence Day,National Holiday,
east-timor,Monday,Dec 07,Memorial Day,National Holiday,
east-timor,Tuesday,Dec 08,Day of Our Lady of Immaculate Conception,National Holiday,
east-timor,Friday,Dec 25,Christmas Day,National Holiday,
east-timor,Thursday,Dec 31,National Heroes' Day,National Holiday,
ecuador,Thursday,Jan 01,New Year's Day,National Holiday,
ecuador,Monday,Feb 16,Carnival Monday,National Holiday,Monday before Ash Wednesday
ecuador,Tuesday,Feb 17,Carnival Tuesday,National Holiday,Tuesday before Ash Wednesday
ecuador,Friday,Apr 03,Good Friday,National Holiday,
ecuador,Sunday,Apr 05,Easter Day,National Holiday,
ecuador,Friday,May 01,Labour Day,National Holiday,International Workers' Day
ecuador,Sunday,May 24,Anniversary of the Battle of Pichincha (in lieu),National Holiday,
ecuador,Friday,Jul 24,Simon Bolivar Day,Not A Public Holiday,The birthday of Simón Bolívar
ecuador,Tuesday,Aug 11,Independence Day,National Holiday,
ecuador,Friday,Oct 09,Independence of Guayaquil,National Holiday,
ecuador,Monday,Nov 02,All Soul's Day,National Holiday,
ecuador,Tuesday,Nov 03,Independence of Cuenca Holiday,National Holiday,
ecuador,Monday,Dec 07,Foundation of Quito Day (in lieu),Regional Holiday,Quito
ecuador,Friday,Dec 25,Christmas Day,National Holiday,
egypt,Thursday,Jan 01,Bank Holiday,Not A Public Holiday,Banks
egypt,Wednesday,Jan 07,Coptic Christmas,National Holiday,
egypt,Sunday,Jan 25,Revolution Day January 25,National Holiday,
egypt,Friday,Mar 20,End of Ramadan,National Holiday,Eid Al Fitr
egypt,Saturday,Mar 21,End of Ramadan Day 2,National Holiday,
egypt,Sunday,Mar 22,End of Ramadan Day 3,National Holiday,
egypt,Sunday,Apr 12,Coptic Easter Sunday,National Holiday,
egypt,Monday,Apr 13,Sham El Nessim,National Holiday,Monday after Orthodox Easter. Spring Festival
egypt,Saturday,Apr 25,Sinai Liberation Day,National Holiday,
egypt,Friday,May 01,Labour Day,National Holiday,International Workers' Day
egypt,Wednesday,May 27,Arafat Day,National Holiday,
egypt,Thursday,May 28,Eid-el-Kibr,National Holiday,Feast of the Sacrifice
egypt,Friday,May 29,Eid-el-Kibr Holiday,National Holiday,
egypt,Saturday,May 30,Eid-el-Kibr Holiday,National Holiday,
egypt,Sunday,May 31,Eid-el-Kibr Holiday,Government Holiday,Public Sector only
egypt,Tuesday,Jun 16,El Hijra,National Holiday,Hijri New Year
egypt,Tuesday,Jun 30,Revolution Day June 30,National Holiday,
egypt,Thursday,Jul 23,Revolution Day July 23,National Holiday,National Day
egypt,Tuesday,Aug 25,Al-Mouled Al-Nabawy,National Holiday,Birthday of Prophet Muhammad
egypt,Friday,Oct 09,Armed Forces Day,National Holiday,
el-salvador,Thursday,Jan 01,New Year's Day,National Holiday,
el-salvador,Thursday,Apr 02,Holy Thursday,National Holiday,Thursday before Easter Sunday
el-salvador,Friday,Apr 03,Good Friday,National Holiday,
el-salvador,Saturday,Apr 04,Holy Saturday,National Holiday,
el-salvador,Sunday,Apr 05,Easter Day,National Holiday,
el-salvador,Friday,May 01,Labour Day,National Holiday,International Workers' Day
el-salvador,Sunday,May 10,Mother's Day,National Holiday,
el-salvador,Wednesday,Jun 17,Father's Day,National Holiday,Always celebrated on 17 June
el-salvador,Tuesday,Aug 04,Fiestas Patronales Holiday,Regional Holiday,San Salvador
el-salvador,Wednesday,Aug 05,Fiestas Patronales Holiday,Regional Holiday,San Salvador
el-salvador,Thursday,Aug 06,Fiesta de San Salvador,National Holiday,
el-salvador,Tuesday,Sep 15,Independence Day,National Holiday,National Day
el-salvador,Monday,Nov 02,All Souls' Day,National Holiday,
el-salvador,Thursday,Dec 24,Christmas Eve,National Holiday,
el-salvador,Friday,Dec 25,Christmas Day,National Holiday,
el-salvador,Thursday,Dec 31,New Year's Eve,National Holiday,
equatorial-guinea,Thursday,Jan 01,New Year's Day,National Holiday,
equatorial-guinea,Sunday,Mar 08,Women's Day,National Holiday,
equatorial-guinea,Monday,Mar 09,Women's Day (in lieu),National Holiday,
equatorial-guinea,Friday,Apr 03,Good Friday,National Holiday,
equatorial-guinea,Friday,May 01,Labour Day,National Holiday,International Workers' Day
equatorial-guinea,Monday,May 25,Africa Day,National Holiday,
equatorial-guinea,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
equatorial-guinea,Friday,Jun 05,President's Day,National Holiday,
equatorial-guinea,Monday,Aug 03,Freedom Day,National Holiday,
equatorial-guinea,Saturday,Aug 15,Constitution Day,National Holiday,
equatorial-guinea,Monday,Oct 12,Independence Day,National Holiday,
equatorial-guinea,Tuesday,Dec 08,Immaculate Conception Day,National Holiday,
equatorial-guinea,Friday,Dec 25,Christmas Day,National Holiday,
eritrea,Thursday,Jan 01,New Year's Day,
eritrea,Wednesday,Jan 07,Orthodox Christmas,
eritrea,Monday,Jan 19,Orthodox Epiphany,
eritrea,Sunday,Mar 08,Women's Day,
eritrea,Friday,Mar 20,Eid al-Fitre,End of Ramadan
eritrea,Friday,Apr 10,Orthodox Good Friday,
eritrea,Sunday,Apr 12,Orthodox Easter Day,
eritrea,Friday,May 01,Labour Day,International Workers' Day
eritrea,Sunday,May 24,Independence Day,National Day
eritrea,Thursday,May 28,Eid Al Adaha,Feast of the Sacrifice
eritrea,Saturday,Jun 20,Eritrea Martyrs' Day,
eritrea,Tuesday,Aug 25,Moulid,Birthday of Prophet Muhammad
eritrea,Tuesday,Sep 01,Eritrea Revolution Day,
eritrea,Friday,Sep 11,Keddus Johannes,Geez New Year
eritrea,Sunday,Sep 27,Meskel,Finding of the True Cross
eritrea,Friday,Dec 25,Christmas Day,
estonia,Thursday,Jan 01,New Year's Day,National Holiday,
estonia,Tuesday,Feb 24,Independence Day,National Holiday,National Day
estonia,Friday,Apr 03,Good Friday,National Holiday,
estonia,Sunday,Apr 05,Easter Sunday,National Holiday,
estonia,Friday,May 01,Spring Day,National Holiday,International Workers' Day
estonia,Sunday,May 10,Mother's Day,Not A Public Holiday,2nd Sunday in May
estonia,Sunday,May 24,Pentecost Sunday,National Holiday,50 Days after Easter
estonia,Tuesday,Jun 23,Victory Day,National Holiday,
estonia,Wednesday,Jun 24,St. John's Day,National Holiday,Midsummer Day
estonia,Thursday,Aug 20,Independence Restoration Day,National Holiday,
estonia,Saturday,Oct 17,Ethnicity day,Not A Public Holiday,Third Saturday in October
estonia,Sunday,Nov 08,Father's Day,Not A Public Holiday,2nd Sunday in November
estonia,Thursday,Dec 24,Christmas Eve,National Holiday,
estonia,Friday,Dec 25,Christmas Day,National Holiday,
estonia,Saturday,Dec 26,Boxing Day,National Holiday,
swaziland,Thursday,Jan 01,New Year's Day,
swaziland,Tuesday,Jan 06,Incwala Day,
swaziland,Friday,Apr 03,Good Friday,
swaziland,Monday,Apr 06,Easter Monday,
swaziland,Sunday,Apr 19,King's Birthday,
swaziland,Monday,Apr 20,King's Birthday (in lieu),
swaziland,Saturday,Apr 25,Flag Day,
swaziland,Friday,May 01,Labour Day,International Workers' Day
swaziland,Thursday,May 14,Ascension Day,39 days after Easter Sunday
swaziland,Monday,Aug 31,Umhlanga reed dance,
swaziland,Sunday,Sep 06,Somhlolo Day,Independence day
swaziland,Monday,Sep 07,Somhlolo Day (in lieu),Independence day
swaziland,Friday,Dec 25,Christmas Day,
swaziland,Saturday,Dec 26,Day of Goodwill,
swaziland,Monday,Dec 28,Incwala Day,
ethiopia,Wednesday,Jan 07,Ethiopian Christmas,National Holiday,Genna
ethiopia,Monday,Jan 19,Orthodox Epiphany,National Holiday,Timket
ethiopia,Monday,Mar 02,Victory of Adwa,National Holiday,
ethiopia,Friday,Mar 20,Eid al-Fitre,National Holiday,End of Ramadan
ethiopia,Friday,Apr 10,Ethiopian Good Friday,National Holiday,Siklet
ethiopia,Sunday,Apr 12,Ethiopian Easter,National Holiday,
ethiopia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
ethiopia,Tuesday,May 05,Patriots' Victory Day,National Holiday,Arbegnoch Qen
ethiopia,Thursday,May 28,Downfall of the Derg,National Holiday,National Day
ethiopia,Thursday,May 28,Eid Al Adaha,National Holiday,Feast of the Sacrifice
ethiopia,Tuesday,Aug 25,Moulid,National Holiday,Birthday of Prophet Muhammad
ethiopia,Friday,Sep 11,Ethiopian New Year,National Holiday,Enkutatash
ethiopia,Sunday,Sep 27,Meskel,National Holiday,Finding of the True Cross
Falkland-islands,Thursday,Jan 01,New Year's Day,National Holiday,
Falkland-islands,Friday,Apr 03,Good Friday,National Holiday,
Falkland-islands,Sunday,Jun 14,Liberation Day,National Holiday,
Falkland-islands,Monday,Jun 15,Liberation Day (in lieu),National Holiday,
Falkland-islands,Monday,Oct 05,Peat Cutting Monday,National Holiday,First Monday in October
Falkland-islands,Saturday,Nov 14,King Charles' Birthday,National Holiday,
Falkland-islands,Tuesday,Dec 08,Battle Day,National Holiday,
Falkland-islands,Friday,Dec 25,Christmas Day,National Holiday,
Falkland-islands,Monday,Dec 28,Boxing Day,National Holiday,
faroe-islands,Thursday,Jan 01,New Year's Day,National Holiday,
faroe-islands,Thursday,Apr 02,Maundy Thursday,National Holiday,Thursday before Easter Sunday
faroe-islands,Friday,Apr 03,Good Friday,National Holiday,
faroe-islands,Sunday,Apr 05,Easter Sunday,National Holiday,
faroe-islands,Monday,Apr 06,Easter Monday,National Holiday,
faroe-islands,Saturday,Apr 25,National Flag Day,National Holiday,
faroe-islands,Friday,May 01,Prayer Day,National Holiday,The 4th Friday after Easter
faroe-islands,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
faroe-islands,Sunday,May 24,Whit Sunday,National Holiday,50 Days after Easter
faroe-islands,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
faroe-islands,Friday,Jun 05,Danish Constitution Day,National Holiday,National Day of Denmark. Afternoon only
faroe-islands,Tuesday,Jul 28,St. Olav’s Eve,National Holiday,Afternoon only
faroe-islands,Wednesday,Jul 29,St. Olav’s Day,National Holiday,National Day
faroe-islands,Thursday,Dec 24,Christmas Eve,National Holiday,Juleaftensdag
faroe-islands,Friday,Dec 25,Christmas Day,National Holiday,First Day of Christmas
faroe-islands,Saturday,Dec 26,Second Day of Christmas,National Holiday,
faroe-islands,Thursday,Dec 31,New Year's Eve,National Holiday,
fiji,Thursday,Jan 01,New Year's Day,National Holiday,
fiji,Friday,Apr 03,Good Friday,National Holiday,
fiji,Saturday,Apr 04,Easter Saturday,National Holiday,
fiji,Monday,Apr 06,Easter Monday,National Holiday,
fiji,Friday,May 15,Girmit Day,National Holiday,
fiji,Friday,May 29,Ratu Sukuna Day,National Holiday,
fiji,Monday,Aug 24,Prophet Mohammed's Birthday,National Holiday,
fiji,Saturday,Oct 10,Fiji Day,National Holiday,
fiji,Monday,Nov 09,Diwali,National Holiday,The Festival of Lights
fiji,Friday,Dec 25,Christmas Day,National Holiday,
fiji,Monday,Dec 28,Boxing Day,National Holiday,
finland,Thursday,Jan 01,New Year's Day,Uudenvuodenpäivä,
finland,Tuesday,Jan 06,Epiphany,Loppiainen,13th Day of Christmas
finland,Friday,Apr 03,Good Friday,Pitkäperjantai,
finland,Monday,Apr 06,Second Easter Day,2. pääsiäispäivä,
finland,Friday,May 01,Vappu,Vappu,May Day
finland,Sunday,May 10,Mother's Day,Äitienpäivä,2nd Sunday in May. Flag Day but not a public holiday
finland,Thursday,May 14,Ascension Day,Helatorstai,39 days after Easter Sunday
finland,Friday,Jun 19,Midsummer Eve,Juhannusaatto,Shops remain open
finland,Friday,Jun 19,Midsummer Day,Juhannuspäivä,
finland,Saturday,Oct 31,All Saints' Day,Pyhäinpäivä,Saturday between October 31 and November 6
finland,Sunday,Nov 08,Father's Day,Isänpäivä,2nd Sunday in November. Flag day but not a public holiday
finland,Sunday,Dec 06,Independence Day,Itsenäisyyspäivä,National Day
finland,Thursday,Dec 24,Christmas Eve,Jouluaatto,
finland,Friday,Dec 25,Christmas Day,Joulupäivä,
finland,Saturday,Dec 26,Second Day of Christmas,2. joulupäivä,
france,Thursday,Jan 01,New Year's Day,Jour de l'an,Public Holiday,
france,Friday,Apr 03,Good Friday,Vendredi saint,Regional Holiday,Alsace and Moselle
france,Monday,Apr 06,Easter Monday,Lundi de Pâques,Public Holiday,
france,Friday,May 01,Labour Day,Fête du Travail,Public Holiday,International Workers' Day
france,Friday,May 08,V-E Day,Fête de la Victoire,Public Holiday,
france,Thursday,May 14,Ascension Day,Jour de l'Ascension,Public Holiday,39 days after Easter Sunday
france,Monday,May 25,Whit Monday,Lundi de Pentecôte,Public Holiday,7th Monday after Easter
france,Sunday,May 31,Mother's Day,Fête des Mères,Not A Public Holiday,Last Sunday in May. Not a public holiday
france,Sunday,Jun 21,Father's Day,Fête des Pères,Not A Public Holiday,3rd Sunday in June. Not a public holiday
france,Tuesday,Jul 14,Bastille Day,Fête Nationale,Public Holiday,French National Day
france,Saturday,Aug 15,Assumption Day,Assomption,Public Holiday,
france,Sunday,Nov 01,All Saints' Day,Toussaint,Public Holiday,
france,Wednesday,Nov 11,Armistice Day,Jour d'armistice,Public Holiday,
france,Friday,Dec 25,Christmas Day,Noël,Public Holiday,
france,Saturday,Dec 26,St. Stephen's Day,Deuxième jour de Noël,Regional Holiday,Alsace and Moselle
french-guiana,Thursday,Jan 01,New Year's Day,National Holiday,
french-guiana,Monday,Feb 16,Carnival Monday,National Holiday,Widely observed by the private sector
french-guiana,Tuesday,Feb 17,Mardi Gras,National Holiday,Widely observed by the private sector
french-guiana,Wednesday,Feb 18,Ash Wednesday,National Holiday,Widely observed by the private sector
french-guiana,Friday,Apr 03,Good Friday,Not A Public Holiday,Banks
french-guiana,Monday,Apr 06,Easter Monday,National Holiday,
french-guiana,Friday,May 01,Labour Day,National Holiday,International Workers' Day
french-guiana,Friday,May 08,Victory Day,National Holiday,
french-guiana,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
french-guiana,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
french-guiana,Wednesday,Jun 10,Abolition Day,National Holiday,
french-guiana,Tuesday,Jul 14,French National Day,National Holiday,French National Day
french-guiana,Saturday,Aug 15,Assumption Day,National Holiday,
french-guiana,Sunday,Nov 01,All Saints' Day,National Holiday,
french-guiana,Wednesday,Nov 11,Armistice Day,National Holiday,
french-guiana,Friday,Dec 25,Christmas Day,National Holiday,
french-polynesia,Thursday,Jan 01,New Year's Day,National Holiday,
french-polynesia,Thursday,Mar 05,Missionary Day,National Holiday,
french-polynesia,Friday,Apr 03,Good Friday,National Holiday,
french-polynesia,Sunday,Apr 05,Easter,National Holiday,
french-polynesia,Monday,Apr 06,Easter Monday,National Holiday,
french-polynesia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
french-polynesia,Friday,May 08,Victory Day,National Holiday,
french-polynesia,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
french-polynesia,Sunday,May 24,Pentecost,National Holiday,50 Days after Easter
french-polynesia,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
french-polynesia,Tuesday,Jul 14,French National Day,National Holiday,Bastille Day
french-polynesia,Saturday,Aug 15,Assumption Day,National Holiday,
french-polynesia,Sunday,Nov 01,All Saints' Day,National Holiday,
french-polynesia,Wednesday,Nov 11,Armistice Day,National Holiday,
french-polynesia,Friday,Dec 25,Christmas Day,National Holiday,
gabon,Thursday,Jan 01,New Year's Day,National Holiday,
gabon,Friday,Mar 20,Eid al-Fitr,National Holiday,End of Ramadan
gabon,Monday,Apr 06,Easter Monday,National Holiday,
gabon,Friday,Apr 17,Women's Day,National Holiday,
gabon,Friday,May 01,Labour Day,National Holiday,International Labour Day
gabon,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
gabon,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
gabon,Thursday,May 28,Eid Al Adha,National Holiday,Date varies on Lunar cycle
gabon,Saturday,Aug 15,Assumption Day,National Holiday,
gabon,Sunday,Aug 16,Independence Day Holiday,National Holiday,
gabon,Monday,Aug 17,Independence Day,National Holiday,National Day
gabon,Sunday,Nov 01,All Saints' Day,National Holiday,
gabon,Friday,Dec 25,Christmas Day,National Holiday,
gambia,Thursday,Jan 01,New Year's Day,National Holiday,
gambia,Wednesday,Feb 18,Independence Day,National Holiday,National Day
gambia,Friday,Mar 20,Koriteh,National Holiday,End of Ramadan
gambia,Saturday,Mar 21,Koriteh Holiday,National Holiday,
gambia,Friday,Apr 03,Good Friday,National Holiday,
gambia,Monday,Apr 06,Easter Monday,National Holiday,
gambia,Friday,May 01,May Day,National Holiday,International Workers' Day
gambia,Monday,May 25,Africa Day,National Holiday,
gambia,Thursday,May 28,Tobaski,National Holiday,Feast of the Sacrifice
gambia,Friday,Jun 26,Yawmul Ashura,National Holiday,10 Muharram
gambia,Saturday,Aug 15,Assumption Day,National Holiday,
gambia,Tuesday,Aug 25,Milad Un Nabi,National Holiday,Birthday of Prophet Muhammad
gambia,Friday,Dec 25,Christmas Day,National Holiday,
georgia,Thursday,Jan 01,New Year's Day,Akhali ts'eli,
georgia,Friday,Jan 02,New Year's Holiday,Bedoba,
georgia,Wednesday,Jan 07,Orthodox Christmas,Krist'eshoba,
georgia,Monday,Jan 19,Orthodox Epiphany,Natlisgheba,
georgia,Tuesday,Mar 03,Mother's Day,Dedis dghe,
georgia,Sunday,Mar 08,International Women's Day,Kalta saertashoriso dghe,
georgia,Thursday,Apr 09,Day of National Unity,Erovnuli ertianobis dghe,
georgia,Friday,Apr 10,Orthodox Good Friday,Saaghdgomo dgheebi – ts'iteli parask'evi,
georgia,Saturday,Apr 11,Great Saturday,didi shabati,Orthodox Holy Saturday
georgia,Sunday,Apr 12,Orthodox Easter Day,brts'q'invale aghdgoma,
georgia,Monday,Apr 13,Orthodox Easter Monday,brts’q’invale orshabati,
georgia,Saturday,May 09,Day of Victory over Fascism,P'ashizmze gamarjvebis dghe,
georgia,Tuesday,May 12,Saint Andrew the First-Called Day,ts’minda andria p’irvelts’odebulis dghe,
georgia,Sunday,May 17,Day of Family Purity,,
georgia,Tuesday,May 26,Independence Day,Damouk'ideblobis dghe,National Day
georgia,Friday,Aug 28,Saint Mary's Day,Mariamoba,
georgia,Wednesday,Oct 14,Day of Svetitskovloba,Mtskhetoba,
georgia,Monday,Nov 23,Saint George's Day,Giorgoba,
germany,Thursday,Jan 01,New Year's Day,Neujahrstag,Public Holiday,
germany,Tuesday,Jan 06,Three King's Day,Heilige Drei Könige,Regional Holiday,Baden-Württemberg; Bavaria; Saxony-Anhalt
germany,Monday,Feb 16,Fasching,Fastnacht,Not A Public Holiday,Not a Public Holiday
germany,Sunday,Mar 08,International Women's Day,Internationaler Frauentag,Regional Holiday,Berlin; Mecklenburg-Vorpommern
germany,Friday,Apr 03,Good Friday,Karfreitag,Public Holiday,
germany,Sunday,Apr 05,Easter Sunday,Ostersonntag,Regional Holiday,Brandenburg
germany,Monday,Apr 06,Easter Monday,Ostermontag,Public Holiday,
germany,Friday,May 01,Labour Day,Tag der Arbeit,Public Holiday,International Workers' Day
