name,id,imageurl,xdescription,ydescription,height,category,weight,typeofpokemon/0,typeofpokemon/1,weaknesses/0,weaknesses/1,weaknesses/2,weaknesses/3,evolutions/0,evolutions/1,evolutions/2,abilities/0,hp,attack,defense,special_attack,special_defense,speed,total,male_percentage,female_percentage,genderless,cycles,egg_groups,evolvedfrom,reason,base_exp,weaknesses/4,evolutions/3,weaknesses/5,weaknesses/6,evolutions/4,evolutions/5,evolutions/6,evolutions/7,evolutions/8
Lanturn,#171,https://assets.pokemon.com/assets/cms2/img/pokedex/full/171.png,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon's light rising from the depths where it swims. It gives the sea an appearance of a starlit night.","Lanturn is nicknamed “the deep-sea star"" for its illuminated antenna. This Pokémon produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna.","3' 11""",Light,49.6 lbs,Water,Electric,Grass,Ground,,,#170,#171,,Illuminate,50,30,30,40,30,40,220,50%,50%,0,20 ,Water 2 ,#170,(Level 27),161,,,,,,,,,
Pichu,#172,https://assets.pokemon.com/assets/cms2/img/pokedex/full/172.png,"When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",Pichu charges itself with electricity more easily on days with thunderclouds or when the air is very dry. You can hear the crackling of static electricity coming off this Pokémon.,"1' 00""",Tiny Mouse,4.4 lbs,Electric,,Ground,,,,#172,#025,#026,Static,10,20,10,20,20,30,110,50%,50%,0,10 ,Undiscovered ,,,41,,,,,,,,,
Cleffa,#173,https://assets.pokemon.com/assets/cms2/img/pokedex/full/173.png,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.","On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.","1' 00""",Star Shape,6.6 lbs,Fairy,,Steel,Poison,,,#173,#035,#036,Cute Charm,20,10,10,20,20,10,90,25%,75%,0,10 ,Undiscovered ,,,44,,,,,,,,,
Igglybuff,#174,https://assets.pokemon.com/assets/cms2/img/pokedex/full/174.png,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,Igglybuff's vocal cords are not sufficiently developed. It would hurt its throat if it were to sing too much. This Pokémon gargles with freshwater from a clean stream.,"1' 00""",Balloon,2.2 lbs,Normal,Fairy,Steel,Poison,,,#174,#039,#040,Cute Charm,40,20,10,20,10,10,110,25%,75%,0,10 ,Undiscovered ,,,42,,,,,,,,,
Togepi,#175,https://assets.pokemon.com/assets/cms2/img/pokedex/full/175.png,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.","As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.","1' 00""",Spike Ball,3.3 lbs,Fairy,,Steel,Poison,,,#175,#176,#468,Serene Grace,20,10,30,20,30,10,120,87.5%,12.5%,0,10 ,Undiscovered ,,,49,,,,,,,,,
Togetic,#176,https://assets.pokemon.com/assets/cms2/img/pokedex/full/176.png,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.","2' 00""",Happiness,7.1 lbs,Fairy,Flying,Electric,Ice,Rock,Steel,#175,#176,#468,Serene Grace,20,20,40,40,40,20,180,87.5%,12.5%,0,10 ,"Fairy, Flying ",#175,(high Friendship),142,Poison,,,,,,,,
Natu,#177,https://assets.pokemon.com/assets/cms2/img/pokedex/full/177.png,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree's new shoots.,"Natu cannot fly because its wings are not yet fully grown. If your eyes meet with this Pokémon's eyes, it will stare back intently at you. But if you move even slightly, it will hop away to safety.","0' 08""",Tiny Bird,4.4 lbs,Psychic,Flying,Dark,Electric,Ghost,Ice,#177,#178,,Synchronize,20,30,20,30,20,40,160,50%,50%,0,20 ,Flying ,,,64,Rock,,,,,,,,
Xatu,#178,https://assets.pokemon.com/assets/cms2/img/pokedex/full/178.png,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,Xatu stands rooted and still in one spot all day long. People believe that this Pokémon does so out of fear of the terrible things it has foreseen in the future.,"4' 11""",Mystic,33.1 lbs,Psychic,Flying,Dark,Electric,Ghost,Ice,#177,#178,,Synchronize,30,40,30,50,30,50,230,50%,50%,0,20 ,Flying ,#177,(Level 25),165,Rock,,,,,,,,
Mareep,#179,https://assets.pokemon.com/assets/cms2/img/pokedex/full/179.png,"Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.","Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.","2' 00""",Wool,17.2 lbs,Electric,,Ground,,,,#179,#180,#181,Static,20,20,20,30,20,20,130,50%,50%,0,20 ,"Field, Monster ",,,56,,,,,,,,,
Flaaffy,#180,https://assets.pokemon.com/assets/cms2/img/pokedex/full/180.png,Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,"2' 07""",Wool,29.3 lbs,Electric,,Ground,,,,#179,#180,#181,Static,30,30,30,40,30,30,190,50%,50%,0,20 ,"Field, Monster ",#179,(Level 15),128,,,,,,,,,
Ampharos,#181,https://assets.pokemon.com/assets/cms2/img/pokedex/full/181.png,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,"4' 07""",Light,135.6 lbs,Electric,,Ground,,,,#179,#180,#181,Static,40,40,40,60,40,30,250,50%,50%,0,20 ,"Field, Monster ",#180,(Level 30),230,,,,,,,,,
Bellossom,#182,https://assets.pokemon.com/assets/cms2/img/pokedex/full/182.png,"A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.","When Bellossom gets exposed to plenty of sunlight, the leaves ringing its body begin to spin around. This Pokémon's dancing is renowned in the southern lands.","1' 04""",Flower,12.8 lbs,Grass,,Bug,Fire,Flying,Ice,#043,#044,#045,Chlorophyll,30,40,40,40,40,30,220,50%,50%,0,20 ,Grass ,#044,(use Sun Stone),221,Poison,#182,,,,,,,
Marill,#183,https://assets.pokemon.com/assets/cms2/img/pokedex/full/183.png,"When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon's tail is flexible and configured to stretch.","Marill's oil-filled tail acts much like a life preserver. If you see just its tail bobbing on the water's surface, it's a sure indication that this Pokémon is diving beneath the water to feed on aquatic plants.","1' 04""",Aqua Mouse,18.7 lbs,Water,Fairy,Electric,Grass,Poison,,#298,#183,#184,Thick Fat,30,10,20,10,20,20,110,50%,50%,0,10 ,"Fairy, Water 1 ",#298,(high Friendship),88,,,,,,,,,
Azumarill,#184,https://assets.pokemon.com/assets/cms2/img/pokedex/full/184.png,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,"Azumarill's long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers.","2' 07""",Aqua Rabbit,62.8 lbs,Water,Fairy,Electric,Grass,Poison,,#298,#183,#184,Thick Fat,40,30,40,30,30,30,200,50%,50%,0,10 ,"Fairy, Water 1 ",#183,(Level 18),189,,,,,,,,,
Sudowoodo,#185,https://assets.pokemon.com/assets/cms2/img/pokedex/full/185.png,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.","Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.","3' 11""",Imitation,83.8 lbs,Rock,,Fighting,Grass,Ground,Steel,#438,#185,,Rock Head,30,50,50,10,30,20,190,50%,50%,0,20 ,Mineral ,#438,(after Mimic learned),144,Water,,,,,,,,
Politoed,#186,https://assets.pokemon.com/assets/cms2/img/pokedex/full/186.png,"The curled hair on Politoed's head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.","The curled hair on Politoed's head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.","3' 07""",Frog,74.7 lbs,Water,,Electric,Grass,,,#060,#061,#062,Damp,40,40,30,40,40,40,230,50%,50%,0,20 ,Water 1 ,#061,(trade holding Kings Rock),225,,#186,,,,,,,
Hoppip,#187,https://assets.pokemon.com/assets/cms2/img/pokedex/full/187.png,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","1' 04""",Cottonweed,1.1 lbs,Grass,Flying,Ice,Fire,Flying,Poison,#187,#188,#189,Chlorophyll,20,20,20,20,20,30,130,50%,50%,0,20 ,"Fairy, Grass ",,,50,Rock,,,,,,,,
Skiploom,#188,https://assets.pokemon.com/assets/cms2/img/pokedex/full/188.png,"Skiploom's flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.","Skiploom's flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.","2' 00""",Cottonweed,2.2 lbs,Grass,Flying,Ice,Fire,Flying,Poison,#187,#188,#189,Chlorophyll,20,20,20,20,30,40,150,50%,50%,0,20 ,"Fairy, Grass ",#187,(Level 18),119,Rock,,,,,,,,
Jumpluff,#189,https://assets.pokemon.com/assets/cms2/img/pokedex/full/189.png,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,"2' 07""",Cottonweed,6.6 lbs,Grass,Flying,Ice,Fire,Flying,Poison,#187,#188,#189,Chlorophyll,30,30,30,30,40,60,220,50%,50%,0,20 ,"Fairy, Grass ",#188,(Level 27),207,Rock,,,,,,,,
Aipom,#190,https://assets.pokemon.com/assets/cms2/img/pokedex/full/190.png,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.","Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.","2' 07""",Long Tail,25.4 lbs,Normal,,Fighting,,,,#190,#424,,Run Away,20,40,30,20,20,50,180,50%,50%,0,20 ,Field ,,,72,,,,,,,,,
Sunkern,#191,https://assets.pokemon.com/assets/cms2/img/pokedex/full/191.png,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","1' 00""",Seed,4.0 lbs,Grass,,Bug,Fire,Flying,Ice,#191,#192,,Chlorophyll,20,20,20,10,10,20,100,50%,50%,0,20 ,Grass ,,,36,Poison,,,,,,,,
Sunflora,#192,https://assets.pokemon.com/assets/cms2/img/pokedex/full/192.png,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,"2' 07""",Sun,18.7 lbs,Grass,,Bug,Fire,Flying,Ice,#191,#192,,Chlorophyll,30,40,30,50,40,20,210,50%,50%,0,20 ,Grass ,#191,(use Sun Stone),149,Poison,,,,,,,,
Yanma,#193,https://assets.pokemon.com/assets/cms2/img/pokedex/full/193.png,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,"3' 11""",Clear Wing,83.8 lbs,Bug,Flying,Rock,Electric,Fire,Flying,#193,#469,,Compound Eyes,30,30,20,40,20,50,190,50%,50%,0,20 ,Bug ,,,78,Ice,,,,,,,,
Wooper,#194,https://assets.pokemon.com/assets/cms2/img/pokedex/full/194.png,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","1' 04""",Water Fish,18.7 lbs,Water,Ground,Grass,,,,#194,#195,,Damp,20,20,20,10,10,10,90,50%,50%,0,20 ,"Field, Water 1 ",,,42,,,,,,,,,
Quagsire,#195,https://assets.pokemon.com/assets/cms2/img/pokedex/full/195.png,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.","4' 07""",Water Fish,165.3 lbs,Water,Ground,Grass,,,,#194,#195,,Damp,40,40,40,30,30,20,200,50%,50%,0,20 ,"Field, Water 1 ",#194,(Level 20),151,,,,,,,,,
Espeon,#196,https://assets.pokemon.com/assets/cms2/img/pokedex/full/196.png,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,"2' 11""",Sun,58.4 lbs,Psychic,,Bug,Dark,Ghost,,#133,#134,#135,Synchronize,30,30,30,60,40,60,250,87.5%,12.5%,0,35 ,Field ,#133,"(high Friendship, Daytime)",184,,#136,,,#197,#471,#470,#196,#700
Umbreon,#197,https://assets.pokemon.com/assets/cms2/img/pokedex/full/197.png,Umbreon evolved as a result of exposure to the moon's waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,Umbreon evolved as a result of exposure to the moon's waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,"3' 03""",Moonlight,59.5 lbs,Dark,,Fighting,Bug,Fairy,,#133,#134,#135,Synchronize,40,30,50,30,50,40,240,87.5%,12.5%,0,35 ,Field ,#133,"(high Friendship, Nighttime)",184,,#136,,,#197,#471,#470,#196,#700
Murkrow,#198,https://assets.pokemon.com/assets/cms2/img/pokedex/full/198.png,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,"1' 08""",Darkness,4.6 lbs,Dark,Flying,Electric,Ice,Rock,Fairy,#198,#430,,Insomnia,30,40,20,40,20,50,200,50%,50%,0,20 ,Flying ,,,81,,,,,,,,,
Slowking,#199,https://assets.pokemon.com/assets/cms2/img/pokedex/full/199.png,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.","Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.","6' 07""",Royal,175.3 lbs,Water,Psychic,Bug,Dark,Electric,Ghost,#079,#080,#199,Oblivious,40,40,40,50,50,20,240,50%,50%,0,20 ,"Monster, Water 1 ",#079,(trade holding Kings Rock),172,Grass,,,,,,,,
Misdreavus,#200,https://assets.pokemon.com/assets/cms2/img/pokedex/full/200.png,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.","Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.","2' 04""",Screech,2.2 lbs,Ghost,,Dark,Ghost,,,#200,#429,,Levitate,30,30,30,40,40,50,220,50%,50%,0,25 ,Amorphous ,,,87,,,,,,,,,
Unown,#201,https://assets.pokemon.com/assets/cms2/img/pokedex/full/201.png,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.","1' 08""",Symbol,11.0 lbs,Psychic,,Bug,Dark,Ghost,,#201,,,Levitate,20,40,20,40,20,30,170,,,1,40 ,Undiscovered ,,,118,,,,,,,,,
Wobbuffet,#202,https://assets.pokemon.com/assets/cms2/img/pokedex/full/202.png,"Wobbuffet does nothing but endure attacks—it won't attack on its own. However, it won't endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.","If two or more Wobbuffet meet, they will turn competitive and try to outdo each other's endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit.","4' 03""",Patient,62.8 lbs,Psychic,,Bug,Dark,Ghost,,#360,#202,,Shadow Tag,70,20,30,20,20,20,180,50%,50%,0,20 ,Amorphous ,#360,(Level 15),142,,,,,,,,,
Girafarig,#203,https://assets.pokemon.com/assets/cms2/img/pokedex/full/203.png,"Girafarig's rear head contains a tiny brain that is too small for thinking. However, the rear head doesn't need to sleep, so it can keep watch over its surroundings 24 hours a day.","Girafarig's rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite.","4' 11""",Long Neck,91.5 lbs,Normal,Psychic,Bug,Dark,,,#203,,,Inner Focus,30,40,30,40,30,50,220,50%,50%,0,20 ,Field ,,,159,,,,,,,,,
Pineco,#204,https://assets.pokemon.com/assets/cms2/img/pokedex/full/204.png,"Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning.","Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning.","2' 00""",Bagworm,15.9 lbs,Bug,,Fire,Flying,Rock,,#204,#205,,Sturdy,20,30,40,20,20,10,140,50%,50%,0,20 ,Bug ,,,58,,,,,,,,,
Forretress,#205,https://assets.pokemon.com/assets/cms2/img/pokedex/full/205.png,"Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey, but it does so at such a quick pace that the shell's inside cannot be seen.","Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey, but it does so at such a quick pace that the shell's inside cannot be seen.","3' 11""",Bagworm,277.3 lbs,Bug,Steel,Fire,,,,#204,#205,,Sturdy,30,50,60,30,30,20,220,50%,50%,0,20 ,Bug ,#204,(Level 31),163,,,,,,,,,
Dunsparce,#206,https://assets.pokemon.com/assets/cms2/img/pokedex/full/206.png,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.,"4' 11""",Land Snake,30.9 lbs,Normal,,Fighting,,,,#206,,,Run Away,40,40,30,30,30,30,200,50%,50%,0,20 ,Field ,,,145,,,,,,,,,
Gligar,#207,https://assets.pokemon.com/assets/cms2/img/pokedex/full/207.png,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.","3' 07""",Fly Scorpion,142.9 lbs,Ground,Flying,Ice,Water,,,#207,#472,,Sand Veil,30,40,50,20,30,50,220,50%,50%,0,20 ,Bug ,,,86,,,,,,,,,
Steelix,#208,https://assets.pokemon.com/assets/cms2/img/pokedex/full/208.png,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth's core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth's core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,"30' 02""",Iron Snake,881.8 lbs,Steel,Ground,Fighting,Fire,Ground,Water,#095,#208,,Rock Head,30,40,80,30,30,20,230,50%,50%,0,25 ,Mineral ,#095,(trade holding Metal Coat),179,,,,,,,,,
Snubbull,#209,https://assets.pokemon.com/assets/cms2/img/pokedex/full/209.png,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.","By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.","2' 00""",Fairy,17.2 lbs,Fairy,,Steel,Poison,,,#209,#210,,Run Away,30,40,20,20,20,20,150,25%,75%,0,20 ,"Fairy, Field ",,,60,,,,,,,,,
Granbull,#210,https://assets.pokemon.com/assets/cms2/img/pokedex/full/210.png,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.","Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.","4' 07""",Fairy,107.4 lbs,Fairy,,Steel,Poison,,,#209,#210,,Intimidate,40,60,30,30,30,30,220,25%,75%,0,20 ,"Fairy, Field ",#209,(Level 23),158,,,,,,,,,
Qwilfish,#211,https://assets.pokemon.com/assets/cms2/img/pokedex/full/211.png,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.","Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.","1' 08""",Balloon,8.6 lbs,Water,Poison,Electric,Ground,Psychic,,#211,,,Poison Point,30,50,30,30,20,50,210,50%,50%,0,20 ,Water 2 ,,,88,,,,,,,,,
Scizor,#212,https://assets.pokemon.com/assets/cms2/img/pokedex/full/212.png,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,"5' 11""",Pincer,260.1 lbs,Bug,Steel,Fire,,,,#123,#212,,Swarm,30,70,40,30,30,40,240,50%,50%,0,25 ,Bug ,#123,(trade holding Metal Coat),175,,,,,,,,,
Shuckle,#213,https://assets.pokemon.com/assets/cms2/img/pokedex/full/213.png,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.","Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.","2' 00""",Mold,45.2 lbs,Bug,Rock,Rock,Steel,Water,,#213,,,Sturdy,10,10,100,10,100,10,240,50%,50%,0,20 ,Bug ,,,177,,,,,,,,,
Heracross,#214,https://assets.pokemon.com/assets/cms2/img/pokedex/full/214.png,"Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.","Heracross charges in a straight line at its foe, slips beneath the foe's grasp, and then scoops up and hurls the opponent with its mighty horn. This Pokémon even has enough power to topple a massive tree.","4' 11""",Single Horn,119.0 lbs,Bug,Fighting,Flying,Fire,Psychic,Fairy,#214,,,Swarm,30,60,30,20,40,50,230,50%,50%,0,25 ,Bug ,,,175,,,,,,,,,
Sneasel,#215,https://assets.pokemon.com/assets/cms2/img/pokedex/full/215.png,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,"2' 11""",Sharp Claw,61.7 lbs,Dark,Ice,Fighting,Bug,Fire,Rock,#215,#461,,Keen Eye,20,50,30,20,30,60,210,50%,50%,0,20 ,Field ,,,86,Steel,,Fairy,,,,,,
Teddiursa,#216,https://assets.pokemon.com/assets/cms2/img/pokedex/full/216.png,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,"2' 00""",Little Bear,19.4 lbs,Normal,,Fighting,,,,#216,#217,,Pickup,30,40,20,20,20,20,150,50%,50%,0,20 ,Field ,,,66,,,,,,,,,
Ursaring,#217,https://assets.pokemon.com/assets/cms2/img/pokedex/full/217.png,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.","In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.","5' 11""",Hibernator,277.3 lbs,Normal,,Fighting,,,,#216,#217,,Guts,40,70,30,40,30,30,240,50%,50%,0,20 ,Field ,#216,(Level 30),175,,,,,,,,,
Slugma,#218,https://assets.pokemon.com/assets/cms2/img/pokedex/full/218.png,"Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon's body, carrying essential nutrients and oxygen to its organs.","Molten magma courses throughout Slugma's circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size.","2' 04""",Lava,77.2 lbs,Fire,,Ground,Rock,Water,,#218,#219,,Flame Body,20,20,20,30,20,10,120,50%,50%,0,20 ,Amorphous ,,,50,,,,,,,,,
Magcargo,#219,https://assets.pokemon.com/assets/cms2/img/pokedex/full/219.png,"Magcargo's body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",Magcargo's shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.,"2' 07""",Lava,121.3 lbs,Fire,Rock,Ground,Water,Fighting,Rock,#218,#219,,Flame Body,20,30,50,40,30,20,190,50%,50%,0,20 ,Amorphous ,#218,(Level 38),151,,,,,,,,,
Swinub,#220,https://assets.pokemon.com/assets/cms2/img/pokedex/full/220.png,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,"1' 04""",Pig,14.3 lbs,Ice,Ground,Fighting,Fire,Grass,Steel,#220,#221,#473,Oblivious,20,30,20,10,10,30,120,50%,50%,0,20 ,Field ,,,50,Water,,,,,,,,
