FNT 1010, Fontana, Fontana, 
ATD 3111, Attard, Attard, 
ATD 3117, Attard, Attard, 
ATD 3132, Attard, Attard, 
ATD 3134, Attard, Attard, 
ATD 4890, Attard, Attard, 
ATD 9020, Attard, Attard, 
ATD 9021, Attard, Attard, 
ATD 9022, Attard, Attard, 
ATD 9023, Attard, Attard, 
ATD 9024, Attard, Attard, 
ATD 9025, Attard, Attard, 
ATD 9027, Attard, Attard, 
ATD 9028, Attard, Attard, 
ATD 9029, Attard, Attard, 
ATD 9050, Attard, Attard, 
ATD 9051, Attard, Attard, 
ATD 9052, Attard, Attard, 
ATD 9053, Attard, Attard, 
ATD 9055, Attard, Attard, 
ATD 9056, Attard, Attard, 
ATD 9090, Attard, Attard, 
ATD 4000, Ta' Qali, Attard, 
ATD 4000, Ta' Qali, Attard, 
ATD 4000, Ta' Qali, Attard, 
BZN 1020, Balzan, Balzan, 
BZN 1030, Balzan, Balzan, 
BZN 1031, Balzan, Balzan, 
BZN 1032, Balzan, Balzan, 
BZN 1050, Balzan, Balzan, 
BZN 1051, Balzan, Balzan, 
BZN 1052, Balzan, Balzan, 
BZN 1053, Balzan, Balzan, 
BZN 1055, Balzan, Balzan, 
BZN 1060, Balzan, Balzan, 
BZN 1061, Balzan, Balzan, 
BZN 1062, Balzan, Balzan, 
BZN 1063, Balzan, Balzan, 
BZN 1110, Balzan, Balzan, 
BZN 1111, Balzan, Balzan, 
BZN 1130, Balzan, Balzan, 
BZN 1131, Balzan, Balzan, 
BZN 1140, Balzan, Balzan, 
BZN 1141, Balzan, Balzan, 
BZN 1143, Balzan, Balzan, 
BZN 1200, Balzan, Balzan, 
BZN 1201, Balzan, Balzan, 
BZN 1250, Balzan, Balzan, 
BZN 1251, Balzan, Balzan, 
BZN 1252, Balzan, Balzan, 
BZN 1253, Balzan, Balzan, 
BZN 1254, Balzan, Balzan, 
BZN 1255, Balzan, Balzan, 
BZN 1256, Balzan, Balzan, 
BZN 1257, Balzan, Balzan, 
BZN 1258, Balzan, Balzan, 
BZN 1259, Balzan, Balzan, 
BZN 1260, Balzan, Balzan, 
BZN 1270, Balzan, Balzan, 
BZN 1271, Balzan, Balzan, 
BZN 1341, Balzan, Balzan, 
BZN 1342, Balzan, Balzan, 
BZN 1343, Balzan, Balzan, 
BZN 1344, Balzan, Balzan, 
BZN 1345, Balzan, Balzan, 
BZN 1351, Balzan, Balzan, 
BZN 1360, Balzan, Balzan, 
BZN 1361, Balzan, Balzan, 
BZN 1410, Balzan, Balzan, 
BZN 1411, Balzan, Balzan, 
BZN 1450, Balzan, Balzan, 
BZN 1451, Balzan, Balzan, 
BZN 1520, Balzan, Balzan, 
BZN 1521, Balzan, Balzan, 
BZN 1522, Balzan, Balzan, 
BZN 1523, Balzan, Balzan, 
BZN 1524, Balzan, Balzan, 
BZN 1526, Balzan, Balzan, 
BZN 1527, Balzan, Balzan, 
BZN 1530, Balzan, Balzan, 
BZN 1531, Balzan, Balzan, 
BZN 1532, Balzan, Balzan, 
BZN 1533, Balzan, Balzan, 
BZN 1535, Balzan, Balzan, 
BZN 1610, Balzan, Balzan, 
BZN 1611, Balzan, Balzan, 
BZN 1612, Balzan, Balzan, 
BZN 1613, Balzan, Balzan, 
BZN 1614, Balzan, Balzan, 
BZN 1615, Balzan, Balzan, 
BZN 1616, Balzan, Balzan, 
BZN 1617, Balzan, Balzan, 
BZN 1618, Balzan, Balzan, 
BZN 1619, Balzan, Balzan, 
BZN 1630, Balzan, Balzan, 
BZN 1631, Balzan, Balzan, 
BZN 1632, Balzan, Balzan, 
BZN 1633, Balzan, Balzan, 
BZN 1634, Balzan, Balzan, 
BZN 1635, Balzan, Balzan, 
BZN 1640, Balzan, Balzan, 
BZN 1641, Balzan, Balzan, 
BZN 1642, Balzan, Balzan, 
BZN 1643, Balzan, Balzan, 
BZN 1660, Balzan, Balzan, 
BZN 1661, Balzan, Balzan, 
BZN 1700, Balzan, Balzan, 
BZN 1701, Balzan, Balzan, 
BZN 1702, Balzan, Balzan, 
BZN 1703, Balzan, Balzan, 
BZN 1704, Balzan, Balzan, 
BZN 1705, Balzan, Balzan, 
BZN 1706, Balzan, Balzan, 
BZN 1707, Balzan, Balzan, 
BZN 1708, Balzan, Balzan, 
BZN 1730, Balzan, Balzan, 
BZN 1731, Balzan, Balzan, 
BZN 9010, Balzan, Balzan, 
BZN 9011, Balzan, Balzan, 
BZN 9012, Balzan, Balzan, 
BZN 9013, Balzan, Balzan, 
BZN 9014, Balzan, Balzan, 
BZN 9015, Balzan, Balzan, 
BZN 9016, Balzan, Balzan, 
BZN 9017, Balzan, Balzan, 
BZN 9018, Balzan, Balzan, 
BZN 9019, Balzan, Balzan, 
BRG 1010, Birgu, Birgu, 
BRG 1020, Birgu, Birgu, 
BRG 1021, Birgu, Birgu, 
BRG 1022, Birgu, Birgu, 
BRG 1023, Birgu, Birgu, 
BRG 1024, Birgu, Birgu, 
BRG 1025, Birgu, Birgu, 
BRG 1026, Birgu, Birgu, 
BRG 1027, Birgu, Birgu, 
BRG 1028, Birgu, Birgu, 
BRG 1040, Birgu, Birgu, 
BRG 1042, Birgu, Birgu, 
BRG 1060, Birgu, Birgu, 
BRG 1061, Birgu, Birgu, 
BRG 1062, Birgu, Birgu, 
BRG 1063, Birgu, Birgu, 
BRG 1070, Birgu, Birgu, 
BRG 1071, Birgu, Birgu, 
BRG 1073, Birgu, Birgu, 
BRG 1090, Birgu, Birgu, 
BRG 1090, Birgu, Birgu, 
BRG 1091, Birgu, Birgu, 
BRG 1092, Birgu, Birgu, 
BRG 1093, Birgu, Birgu, 
BRG 1094, Birgu, Birgu, 
BRG 1099, Birgu, Birgu, 
BRG 1101, Birgu, Birgu, 
BRG 1102, Birgu, Birgu, 
BRG 1103, Birgu, Birgu, 
BRG 1104, Birgu, Birgu, 
BRG 1105, Birgu, Birgu, 
BRG 1114, Birgu, Birgu, 
BRG 1116, Birgu, Birgu, 
BRG 1120, Birgu, Birgu, 
BRG 1121, Birgu, Birgu, 
BRG 1130, Birgu, Birgu, 
BRG 1131, Birgu, Birgu, 
BRG 1140, Birgu, Birgu, 
BRG 1141, Birgu, Birgu, 
BRG 1142, Birgu, Birgu, 
BRG 1151, Birgu, Birgu, 
BRG 1152, Birgu, Birgu, 
BRG 1153, Birgu, Birgu, 
BRG 1160, Birgu, Birgu, 
BRG 1161, Birgu, Birgu, 
BRG 1162, Birgu, Birgu, 
BRG 1163, Birgu, Birgu, 
BRG 1180, Birgu, Birgu, 
BRG 1182, Birgu, Birgu, 
BRG 1190, Birgu, Birgu, 
BRG 1191, Birgu, Birgu, 
BRG 1192, Birgu, Birgu, 
BRG 1193, Birgu, Birgu, 
BRG 1200, Birgu, Birgu, 
BRG 1201, Birgu, Birgu, 
BRG 1202, Birgu, Birgu, 
BRG 1203, Birgu, Birgu, 
BRG 1204, Birgu, Birgu, 
BRG 1205, Birgu, Birgu, 
BRG 1210, Birgu, Birgu, 
BRG 1211, Birgu, Birgu, 
BRG 1212, Birgu, Birgu, 
BRG 1220, Birgu, Birgu, 
BRG 1230, Birgu, Birgu, 
BRG 1231, Birgu, Birgu, 
BRG 1240, Birgu, Birgu, 
BRG 1241, Birgu, Birgu, 
BRG 1243, Birgu, Birgu, 
BRG 1250, Birgu, Birgu, 
BRG 1251, Birgu, Birgu, 
BRG 1252, Birgu, Birgu, 
BRG 1253, Birgu, Birgu, 
BRG 1254, Birgu, Birgu, 
BRG 1255, Birgu, Birgu, 
BRG 1256, Birgu, Birgu, 
BRG 1257, Birgu, Birgu, 
BRG 1260, Birgu, Birgu, 
BRG 1261, Birgu, Birgu, 
BRG 1262, Birgu, Birgu, 
BRG 1263, Birgu, Birgu, 
BRG 1264, Birgu, Birgu, 
BRG 1265, Birgu, Birgu, 
BRG 1270, Birgu, Birgu, 
BRG 1271, Birgu, Birgu, 
BRG 1272, Birgu, Birgu, 
BRG 1273, Birgu, Birgu, 
BRG 1290, Birgu, Birgu, 
BRG 1291, Birgu, Birgu, 
BRG 1300, Birgu, Birgu, 
BRG 1320, Birgu, Birgu, 
BRG 1340, Birgu, Birgu, 
BRG 1342, Birgu, Birgu, 
BRG 1343, Birgu, Birgu, 
BRG 1344, Birgu, Birgu, 
BRG 1345, Birgu, Birgu, 
BRG 1352, Birgu, Birgu, 
BRG 1353, Birgu, Birgu, 
BRG 1354, Birgu, Birgu, 
BRG 1355, Birgu, Birgu, 
BRG 1361, Birgu, Birgu, 
BRG 1362, Birgu, Birgu, 
BRG 1364, Birgu, Birgu, 
BRG 1365, Birgu, Birgu, 
BRG 1366, Birgu, Birgu, 
BRG 1367, Birgu, Birgu, 
BRG 1368, Birgu, Birgu, 
BRG 1369, Birgu, Birgu, 
BRG 1370, Birgu, Birgu, 
BRG 1410, Birgu, Birgu, 
BRG 1411, Birgu, Birgu, 
BRG 1420, Birgu, Birgu, 
BRG 1421, Birgu, Birgu, 
BRG 1422, Birgu, Birgu, 
BRG 1423, Birgu, Birgu, 
BRG 1425, Birgu, Birgu, 
BRG 1430, Birgu, Birgu, 
BRG 1460, Birgu, Birgu, 
BRG 1461, Birgu, Birgu, 
BRG 1470, Birgu, Birgu, 
BRG 1471, Birgu, Birgu, 
BRG 1472, Birgu, Birgu, 
BRG 1473, Birgu, Birgu, 
BRG 1476, Birgu, Birgu, 
BRG 1480, Birgu, Birgu, 
BRG 1481, Birgu, Birgu, 
BRG 1482, Birgu, Birgu, 
BRG 1483, Birgu, Birgu, 
BRG 1484, Birgu, Birgu, 
BRG 1500, Birgu, Birgu, 
BRG 1501, Birgu, Birgu, 
BRG 1502, Birgu, Birgu, 
BRG 1510, Birgu, Birgu, 
BRG 1511, Birgu, Birgu, 
BRG 1570, Birgu, Birgu, 
BRG 1740, Birgu, Birgu, 
BRG 1810, Birgu, Birgu, 
BRG 1830, Birgu, Birgu, 
BRG 1831, Birgu, Birgu, 
BRG 1833, Birgu, Birgu, 
BRG 1840, Birgu, Birgu, 
BRG 1841, Birgu, Birgu, 
BRG 2020, Birgu, Birgu, 
BRG 2031, Birgu, Birgu, 
BRG 2101, Birgu, Birgu, 
BRG 2102, Birgu, Birgu, 
BRG 2103, Birgu, Birgu, 
BRG 2111, Birgu, Birgu, 
BRG 2112, Birgu, Birgu, 
BRG 2113, Birgu, Birgu, 
BRG 2130, Birgu, Birgu, 
BRG 2132, Birgu, Birgu, 
BRG 2134, Birgu, Birgu, 
BRG 2140, Birgu, Birgu, 
BRG 2160, Birgu, Birgu, 
BRG 2171, Birgu, Birgu, 
BRG 2173, Birgu, Birgu, 
BRG 9021, Birgu, Birgu, 
BRG 9023, Birgu, Birgu, 
BKR 1250, Birkirkara, Birkirkara, 
BKR 1251, Birkirkara, Birkirkara, 
BKR 1252, Birkirkara, Birkirkara, 
BKR 1253, Birkirkara, Birkirkara, 
BKR 1260, Birkirkara, Birkirkara, 
BKR 1261, Birkirkara, Birkirkara, 
BKR 1262, Birkirkara, Birkirkara, 
BKR 1263, Birkirkara, Birkirkara, 
BKR 1264, Birkirkara, Birkirkara, 
BKR 1265, Birkirkara, Birkirkara, 
BKR 1266, Birkirkara, Birkirkara, 
BKR 1267, Birkirkara, Birkirkara, 
BKR 1268, Birkirkara, Birkirkara, 
BKR 1269, Birkirkara, Birkirkara, 
BKR 1470, Birkirkara, Birkirkara, 
BKR 1471, Birkirkara, Birkirkara, 
BKR 1472, Birkirkara, Birkirkara, 
BKR 1473, Birkirkara, Birkirkara, 
BKR 1474, Birkirkara, Birkirkara, 
BKR 1501, Birkirkara, Birkirkara, 
BKR 1504, Birkirkara, Birkirkara, 
BKR 1560, Birkirkara, Birkirkara, 
BKR 1590, Birkirkara, Birkirkara, 
BKR 1591, Birkirkara, Birkirkara, 
BKR 1620, Birkirkara, Birkirkara, 
BKR 1621, Birkirkara, Birkirkara, 
BKR 1622, Birkirkara, Birkirkara, 
BKR 1623, Birkirkara, Birkirkara, 
BKR 1650, Birkirkara, Birkirkara, 
BKR 1651, Birkirkara, Birkirkara, 
BKR 1730, Birkirkara, Birkirkara, 
BKR 1732, Birkirkara, Birkirkara, 
BKR 1733, Birkirkara, Birkirkara, 
BKR 1735, Birkirkara, Birkirkara, 
BKR 1736, Birkirkara, Birkirkara, 
BKR 1737, Birkirkara, Birkirkara, 
BKR 2020, Birkirkara, Birkirkara, 
BKR 2022, Birkirkara, Birkirkara, 
BKR 2071, Birkirkara, Birkirkara, 
BKR 2072, Birkirkara, Birkirkara, 
BKR 2073, Birkirkara, Birkirkara, 
BKR 2110, Birkirkara, Birkirkara, 
BKR 2111, Birkirkara, Birkirkara, 
BKR 2112, Birkirkara, Birkirkara, 
BKR 2113, Birkirkara, Birkirkara, 
BKR 2130, Birkirkara, Birkirkara, 
BKR 2131, Birkirkara, Birkirkara, 
BKR 2140, Birkirkara, Birkirkara, 
BKR 2141, Birkirkara, Birkirkara, 
BKR 2170, Birkirkara, Birkirkara, 
BKR 2171, Birkirkara, Birkirkara, 
BKR 2172, Birkirkara, Birkirkara, 
BKR 2173, Birkirkara, Birkirkara, 
BKR 2180, Birkirkara, Birkirkara, 
BKR 2181, Birkirkara, Birkirkara, 
BKR 2190, Birkirkara, Birkirkara, 
BKR 2191, Birkirkara, Birkirkara, 
bkr 2220, Birkirkara, Birkirkara, 
BKR 2221, Birkirkara, Birkirkara, 
BKR 2243, Birkirkara, Birkirkara, 
BKR 2250, Birkirkara, Birkirkara, 
BKR 2251, Birkirkara, Birkirkara, 
BKR 2252, Birkirkara, Birkirkara, 
BKR 2253, Birkirkara, Birkirkara, 
BKR 2254, Birkirkara, Birkirkara, 
BKR 2255, Birkirkara, Birkirkara, 
BKR 2257, Birkirkara, Birkirkara, 
BKR 2270, Birkirkara, Birkirkara, 
BKR 2271, Birkirkara, Birkirkara, 
BKR 2272, Birkirkara, Birkirkara, 
BKR 2273, Birkirkara, Birkirkara, 
BKR 2274, Birkirkara, Birkirkara, 
BKR 2275, Birkirkara, Birkirkara, 
BKR 2276, Birkirkara, Birkirkara, 
BKR 2277, Birkirkara, Birkirkara, 
BKR 2280, Birkirkara, Birkirkara, 
BKR 2281, Birkirkara, Birkirkara, 
BKR 2282, Birkirkara, Birkirkara, 
BKR 2283, Birkirkara, Birkirkara, 
BKR 2284, Birkirkara, Birkirkara, 
BKR 2285, Birkirkara, Birkirkara, 
BKR 2286, Birkirkara, Birkirkara, 
BKR 2287, Birkirkara, Birkirkara, 
BKR 2290, Birkirkara, Birkirkara, 
BKR 2291, Birkirkara, Birkirkara, 
BKR 2311, Birkirkara, Birkirkara, 
BKR 2340, Birkirkara, Birkirkara, 
BKR 2341, Birkirkara, Birkirkara, 
BKR 2430, Birkirkara, Birkirkara, 
BKR 2431, Birkirkara, Birkirkara, 
BKR 2440, Birkirkara, Birkirkara, 
BKR 2460, Birkirkara, Birkirkara, 
BKR 2461, Birkirkara, Birkirkara, 
BKR 2530, Birkirkara, Birkirkara, 
BKR 2531, Birkirkara, Birkirkara, 
BKR 2560, Birkirkara, Birkirkara, 
BKR 2561, Birkirkara, Birkirkara, 
BKR 2620, Birkirkara, Birkirkara, 
BKR 2621, Birkirkara, Birkirkara, 
BKR 2622, Birkirkara, Birkirkara, 
BKR 2623, Birkirkara, Birkirkara, 
BKR 2630, Birkirkara, Birkirkara, 
BKR 2631, Birkirkara, Birkirkara, 
BKR 2760, Birkirkara, Birkirkara, 
BKR 2761, Birkirkara, Birkirkara, 
BKR 2762, Birkirkara, Birkirkara, 
BKR 2763, Birkirkara, Birkirkara, 
BKR 2780, Birkirkara, Birkirkara, 
BKR 2781, Birkirkara, Birkirkara, 
BKR 2782, Birkirkara, Birkirkara, 
BKR 2783, Birkirkara, Birkirkara, 
BKR 2810, Birkirkara, Birkirkara, 
BKR 2821, Birkirkara, Birkirkara, 
BKR 2822, Birkirkara, Birkirkara, 
BKR 2823, Birkirkara, Birkirkara, 
BKR 2830, Birkirkara, Birkirkara, 
BKR 2831, Birkirkara, Birkirkara, 
BKR 2833, Birkirkara, Birkirkara, 
BKR 2834, Birkirkara, Birkirkara, 
BKR 2835, Birkirkara, Birkirkara, 
BKR 2840, Birkirkara, Birkirkara, 
BKR 2841, Birkirkara, Birkirkara, 
BKR 2850, Birkirkara, Birkirkara, 
BKR 2860, Birkirkara, Birkirkara, 
BKR 2862, Birkirkara, Birkirkara, 
BKR 2863, Birkirkara, Birkirkara, 
BKR 2890, Birkirkara, Birkirkara, 
BKR 2892, Birkirkara, Birkirkara, 
BKR 3451, Birkirkara, Birkirkara, 
BKR 3453, Birkirkara, Birkirkara, 
BKR 3455, Birkirkara, Birkirkara, 
BKR 4050, Birkirkara, Birkirkara, 
BKR 4051, Birkirkara, Birkirkara, 
BKR 4052, Birkirkara, Birkirkara, 
BKR 4053, Birkirkara, Birkirkara, 
BKR 4070, Birkirkara, Birkirkara, 
BKR 4071, Birkirkara, Birkirkara, 
BKR 4072, Birkirkara, Birkirkara, 
BKR 4073, Birkirkara, Birkirkara, 
BKR 4440, Birkirkara, Birkirkara, 
BKR 4446, Birkirkara, Birkirkara, 
BKR 4480, Birkirkara, Birkirkara, 
BKR 4481, Birkirkara, Birkirkara, 
BKR 4560, Birkirkara, Birkirkara, 
BKR 4562, Birkirkara, Birkirkara, 
BKR 4670, Birkirkara, Birkirkara, 
BKR 4740, Birkirkara, Birkirkara, 
BKR 4741, Birkirkara, Birkirkara, 
BKR 4742, Birkirkara, Birkirkara, 
BKR 4743, Birkirkara, Birkirkara, 
BKR 1870, Fleur de Lys, Birkirkara, 
BKR 1871, Fleur de Lys, Birkirkara, 
BKR 1872, Fleur de Lys, Birkirkara, 
BKR 1873, Fleur de Lys, Birkirkara, 
BKR 1876, Fleur de Lys, Birkirkara, 
BKR 1900, Fleur de Lys, Birkirkara, 
BKR 1901, Fleur de Lys, Birkirkara, 
BKR 1902, Fleur de Lys, Birkirkara, 
BKR 1903, Fleur de Lys, Birkirkara, 
BKR 1904, Fleur de Lys, Birkirkara, 
BKR 1905, Fleur de Lys, Birkirkara, 
BKR 1906, Fleur de Lys, Birkirkara, 
BKR 1907, Fleur de Lys, Birkirkara, 
BKR 1908, Fleur de Lys, Birkirkara, 
BKR 1909, Fleur de Lys, Birkirkara, 
BKR 1910, Fleur de Lys, Birkirkara, 
BKR 1911, Fleur de Lys, Birkirkara, 
BKR 1913, Fleur de Lys, Birkirkara, 
BKR 1940, Fleur de Lys, Birkirkara, 
BKR 1941, Fleur de Lys, Birkirkara, 
BKR 1942, Fleur de Lys, Birkirkara, 
BKR 1943, Fleur de Lys, Birkirkara, 
BKR 1944, Fleur de Lys, Birkirkara, 
BKR 1950, Fleur de Lys, Birkirkara, 
BKR 1951, Fleur de Lys, Birkirkara, 
BKR 1952, Fleur de Lys, Birkirkara, 
BKR 1953, Fleur de Lys, Birkirkara, 
BKR 1954, Fleur de Lys, Birkirkara, 
BKR 1956, Fleur de Lys, Birkirkara, 
BKR 1957, Fleur de Lys, Birkirkara, 
BKR 1960, Fleur de Lys, Birkirkara, 
BKR 1962, Fleur de Lys, Birkirkara, 
BKR 1963, Fleur de Lys, Birkirkara, 
BKR 1965, Fleur de Lys, Birkirkara, 
BKR 1970, Fleur de Lys, Birkirkara, 
BKR 1971, Fleur de Lys, Birkirkara, 
BKR 1972, Fleur de Lys, Birkirkara, 
BKR 1973, Fleur de Lys, Birkirkara, 
BKR 1975, Fleur de Lys, Birkirkara, 
BKR 1976, Fleur de Lys, Birkirkara, 
BKR 1977, Fleur de Lys, Birkirkara, 
BKR 1980, Fleur de Lys, Birkirkara, 
BKR 1981, Fleur de Lys, Birkirkara, 
BKR 1982, Fleur de Lys, Birkirkara, 
BKR 1990, Fleur de Lys, Birkirkara, 
BKR 3000, Fleur de Lys, Birkirkara, 
BKR 4910, Fleur de Lys, Birkirkara, 
BKR 4911, Fleur de Lys, Birkirkara, 
BKR 4912, Fleur de Lys, Birkirkara, 
BKR 4913, Fleur de Lys, Birkirkara, 
BKR 4914, Fleur de Lys, Birkirkara, 
BKR 4915, Fleur de Lys, Birkirkara, 
BKR 4916, Fleur de Lys, Birkirkara, 
BKR 4917, Fleur de Lys, Birkirkara, 
BKR 4918, Fleur de Lys, Birkirkara, 
BKR 4919, Fleur de Lys, Birkirkara, 
BKR 4920, Fleur de Lys, Birkirkara, 
BKR 4921, Fleur de Lys, Birkirkara, 
BKR 4930, Fleur de Lys, Birkirkara, 
BKR 4931, Fleur de Lys, Birkirkara, 
BKR 4940, Fleur de Lys, Birkirkara, 
BKR 4941, Fleur de Lys, Birkirkara, 
BKR 4942, Fleur de Lys, Birkirkara, 
BKR 4944, Fleur de Lys, Birkirkara, 
BKR 4945, Fleur de Lys, Birkirkara, 
BKR 4950, Fleur de Lys, Birkirkara, 
BKR 4952, Fleur de Lys, Birkirkara, 
BKR 4953, Fleur de Lys, Birkirkara, 
BKR 4954, Fleur de Lys, Birkirkara, 
BKR 4960, Fleur de Lys, Birkirkara, 
BKR 4961, Fleur de Lys, Birkirkara, 
BKR 4962, Fleur de Lys, Birkirkara, 
BKR 4963, Fleur de Lys, Birkirkara, 
BKR 4964, Fleur de Lys, Birkirkara, 
BKR 4965, Fleur de Lys, Birkirkara, 
BKR 1649, Mrieħel, Birkirkara, 
BKR 1880, Mrieħel, Birkirkara, 
BKR 1881, Mrieħel, Birkirkara, 
BKR 1882, Mrieħel, Birkirkara, 
BKR 1883, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3000, Mrieħel, Birkirkara, 
BKR 3010, Mrieħel, Birkirkara, 
BKR 4010, Swatar, Birkirkara, 
BKR 4011, Swatar, Birkirkara, 
BKR 4012, Swatar, Birkirkara, 
BKR 4013, Swatar, Birkirkara, 
BKR 4015, Swatar, Birkirkara, 
BKR 4018, Swatar, Birkirkara, 
BKR 4019, Swatar, Birkirkara, 
BKR 4100, Swatar, Birkirkara, 
BKR 4101, Swatar, Birkirkara, 
BKR 4110, Swatar, Birkirkara, 
BKR 4111, Swatar, Birkirkara, 
BKR 4112, Swatar, Birkirkara, 
BKR 4113, Swatar, Birkirkara, 
BKR 4114, Swatar, Birkirkara, 
BKR 4120, Swatar, Birkirkara, 
BKR 4121, Swatar, Birkirkara, 
BKR 4122, Swatar, Birkirkara, 
BKR 4130, Swatar, Birkirkara, 
BKR 4131, Swatar, Birkirkara, 
BKR 4132, Swatar, Birkirkara, 
BKR 4133, Swatar, Birkirkara, 
BKR 4141, Swatar, Birkirkara, 
BKR 4143, Swatar, Birkirkara, 
BKR 4151, Swatar, Birkirkara, 
BKR 4152, Swatar, Birkirkara, 
BKR 4153, Swatar, Birkirkara, 
BKR 4154, Swatar, Birkirkara, 
BKR 4155, Swatar, Birkirkara, 
BKR 4157, Swatar, Birkirkara, 
BKR 4162, Swatar, Birkirkara, 
BKR 4163, Swatar, Birkirkara, 
BKR 4172, Swatar, Birkirkara, 
BKR 4173, Swatar, Birkirkara, 
BKR 4200, Swatar, Birkirkara, 
BKR 4202, Swatar, Birkirkara, 
BKR 4203, Swatar, Birkirkara, 
BKR 4210, Swatar, Birkirkara, 
BKR 4211, Swatar, Birkirkara, 
BKR 4212, Swatar, Birkirkara, 
BKR 4213, Swatar, Birkirkara, 
BKR 4214, Swatar, Birkirkara, 
BKR 4220, Swatar, Birkirkara, 
BKR 4222, Swatar, Birkirkara, 
BKR 4223, Swatar, Birkirkara, 
BKR 4230, Swatar, Birkirkara, 
BKR 4231, Swatar, Birkirkara, 
BKR 4232, Swatar, Birkirkara, 
BKR 4233, Swatar, Birkirkara, 
BKR 4241, Swatar, Birkirkara, 
BKR 4243, Swatar, Birkirkara, 
BKR 4244, Swatar, Birkirkara, 
BKR 4245, Swatar, Birkirkara, 
BKR 4246, Swatar, Birkirkara, 
BKR 4247, Swatar, Birkirkara, 
BKR 4250, Swatar, Birkirkara, 
BKR 4251, Swatar, Birkirkara, 
BKR 4253, Swatar, Birkirkara, 
BKR 4260, Swatar, Birkirkara, 
BKR 4261, Swatar, Birkirkara, 
BKR 4262, Swatar, Birkirkara, 
BKR 4263, Swatar, Birkirkara, 
BKR 4270, Swatar, Birkirkara, 
BKR 4272, Swatar, Birkirkara, 
BKR 4281, Swatar, Birkirkara, 
BKR 4300, Swatar, Birkirkara, 
BKR 4301, Swatar, Birkirkara, 
BKR 4302, Swatar, Birkirkara, 
BKR 4303, Swatar, Birkirkara, 
BKR 4304, Swatar, Birkirkara, 
BKR 4305, Swatar, Birkirkara, 
BKR 4306, Swatar, Birkirkara, 
BKR 4307, Swatar, Birkirkara, 
BKR 4310, Swatar, Birkirkara, 
BKR 4311, Swatar, Birkirkara, 
BKR 4312, Swatar, Birkirkara, 
BKR 4313, Swatar, Birkirkara, 
BKR 4314, Swatar, Birkirkara, 
BKR 4315, Swatar, Birkirkara, 
BKR 4323, Swatar, Birkirkara, 
BKR 4330, Swatar, Birkirkara, 
BKR 4331, Swatar, Birkirkara, 
BKR 4340, Swatar, Birkirkara, 
BKR 4341, Swatar, Birkirkara, 
BKR 4342, Swatar, Birkirkara, 
BKR 4343, Swatar, Birkirkara, 
BKR 4350, Swatar, Birkirkara, 
BKR 4351, Swatar, Birkirkara, 
BKR 4352, Swatar, Birkirkara, 
BKR 4353, Swatar, Birkirkara, 
BKR 4361, Swatar, Birkirkara, 
BKR 4362, Swatar, Birkirkara, 
BKR 4363, Swatar, Birkirkara, 
BKR 4370, Swatar, Birkirkara, 
BKR 4371, Swatar, Birkirkara, 
BKR 4372, Swatar, Birkirkara, 
BKR 4373, Swatar, Birkirkara, 
BKR 4400, Swatar, Birkirkara, 
BKR 4401, Swatar, Birkirkara, 
BKR 4402, Swatar, Birkirkara, 
BKR 4403, Swatar, Birkirkara, 
BKR 4405, Swatar, Birkirkara, 
BKR 4407, Swatar, Birkirkara, 
BKR 4408, Swatar, Birkirkara, 
BKR 4409, Swatar, Birkirkara, 
BKR 4410, Swatar, Birkirkara, 
BKR 4411, Swatar, Birkirkara, 
BBG 1010, Birżebbuġa, Birżebbuġa, 
BBG 1012, Birżebbuġa, Birżebbuġa, 
BBG 1013, Birżebbuġa, Birżebbuġa, 
BBG 1014, Birżebbuġa, Birżebbuġa, 
BBG 1015, Birżebbuġa, Birżebbuġa, 
BBG 1016, Birżebbuġa, Birżebbuġa, 
BBG 1017, Birżebbuġa, Birżebbuġa, 
BBG 1021, Birżebbuġa, Birżebbuġa, 
BBG 1023, Birżebbuġa, Birżebbuġa, 
BBG 1111, Birżebbuġa, Birżebbuġa, 
BBG 1112, Birżebbuġa, Birżebbuġa, 
